Data Set,Label,Scaled,Imputer,Split,MSE,MAE,R2,Model,Best Params,Outliers
Train,Pedestrian Total,NA,Pandas,0.5,1234456.941,706.1118787,97%,KNN,"{'p': 1, 'n_neighbors': 10, 'leaf_size': 20}",Not Removed
Train,Pedestrian Total,Standard,KNN,0.3,1213998.692,716.7182899,97%,KNN,"{'p': 2, 'n_neighbors': 5, 'leaf_size': 20}",Not Removed
Train,Pedestrian Total,Standard,KNN,0.1,1098859.972,689.8704921,97%,KNN,"{'p': 2, 'n_neighbors': 5, 'leaf_size': 20}",Not Removed
Train,Pedestrian Total,NA,KNN,0.1,589246.3813,508.975765,97%,KNN,"{'p': 1, 'n_neighbors': 10, 'leaf_size': 50}",Removed
Train,Pedestrian Total,NA,KNN,0.3,671735.9906,550.783857,97%,KNN,"{'p': 1, 'n_neighbors': 10, 'leaf_size': 40}",Removed
Test,Pedestrian Total,NA,KNN,0.1,413300.7183,459.7112511,97%,RandomForest,"{'n_estimators': 500, 'max_features': 'sqrt', 'max_depth': 20, 'bootstrap': False}",Removed
Test,Pedestrian Total,Standard,KNN,0.1,415354.5818,460.579851,97%,RandomForest,"{'n_estimators': 2000, 'max_features': 'sqrt', 'max_depth': 20, 'bootstrap': False}",Removed
Train,Pedestrian Total,NA,Pandas,0.3,716376.829,577.0975704,97%,KNN,"{'p': 1, 'n_neighbors': 7, 'leaf_size': 40}",Removed
Test,Pedestrian Total,Standard,KNN,0.1,436761.3869,482.741681,96%,RandomForest,"{'n_estimators': 1000, 'max_features': 'sqrt', 'max_depth': 20, 'bootstrap': False}",Not Removed
Test,Pedestrian Total,NA,KNN,0.1,437204.4872,483.4646924,96%,RandomForest,"{'n_estimators': 2000, 'max_features': 'sqrt', 'max_depth': 20, 'bootstrap': False}",Not Removed
Test,Pedestrian Total,NA,KNN,0.1,459435.266,495.6689981,96%,KNN,"{'p': 1, 'n_neighbors': 10, 'leaf_size': 50}",Removed
Train,Pedestrian Total,NA,KNN,0.5,821848.48,622.4370053,96%,KNN,"{'p': 1, 'n_neighbors': 10, 'leaf_size': 40}",Removed
Train,Pedestrian Total,NA,Pandas,0.5,870538.019,642.2668389,96%,KNN,"{'p': 1, 'n_neighbors': 10, 'leaf_size': 20}",Removed
Test,Pedestrian Total,NA,KNN,0.1,488695.4636,500.8358974,96%,KNN,"{'p': 1, 'n_neighbors': 7, 'leaf_size': 20}",Not Removed
Train,Pedestrian Total,Standard,Pandas,0.5,1941286.326,873.194984,96%,KNN,"{'p': 2, 'n_neighbors': 10, 'leaf_size': 20}",Not Removed
