Data Set,Label,Scaled,Imputer,Split,MSE,MAE,R2,Model,Best Params,Outliers
Validation Data,Pedestrian Total,NA,Pandas,0.1,17878209.05,3270.852698,-3%,Ridge,NA,Removed
Validation Data,Pedestrian Total,NA,Pandas,0.5,17949650.72,3237.19447,-4%,Ridge,NA,Removed
Test,Pedestrian Total,Standard,Pandas,0.5,13602443.54,3136.662907,-6%,RandomForest,"{'n_estimators': 50, 'max_features': 'sqrt', 'max_depth': 100, 'bootstrap': False}",Not Removed
Validation Data,Pedestrian Total,NA,Pandas,0.3,20881819.66,3423.795278,-20%,Ridge,NA,Removed
Test,Pedestrian Total,Standard,Pandas,0.5,14347773.71,3147.709579,-22%,KNN,"{'p': 2, 'n_neighbors': 10, 'leaf_size': 40}",Removed
Test,Pedestrian Total,Standard,Pandas,0.5,16764871.13,3461.93925,-31%,KNN,"{'p': 2, 'n_neighbors': 10, 'leaf_size': 20}",Not Removed
Validation Data,Pedestrian Total,NA,KNN,0.5,22969591.84,3518.563887,-32%,Ridge,NA,Removed
Validation Data,Pedestrian Total,NA,KNN,0.5,25230054.98,4369.527539,-43%,Ridge,NA,Not Removed
Validation Data,Pedestrian Total,NA,Pandas,0.5,25494189.86,4392.426609,-45%,Ridge,NA,Not Removed
Validation Data,Pedestrian Total,NA,KNN,0.1,25846528.44,3746.846148,-49%,Ridge,NA,Removed
Validation Data,Pedestrian Total,NA,KNN,0.3,27543689.5,3864.545359,-59%,Ridge,NA,Removed
Validation Data,Pedestrian Total,NA,Pandas,0.5,36441024.3,4618.608303,-107%,RandomForest,NA,Not Removed
Validation Data,Pedestrian Total,NA,Pandas,0.5,37644811.8,4707.671073,-117%,RandomForest,NA,Removed
Validation Data,Pedestrian Total,NA,KNN,0.5,37717907.2,4715.049025,-118%,RandomForest,NA,Removed
Validation Data,Pedestrian Total,NA,KNN,0.5,38683057.99,4800.355428,-120%,RandomForest,NA,Not Removed
Validation Data,Pedestrian Total,NA,Pandas,0.3,39805449.67,4881.875174,-126%,RandomForest,NA,Not Removed
Validation Data,Pedestrian Total,NA,Pandas,0.3,40133892.15,4906.962218,-131%,RandomForest,NA,Removed
Validation Data,Pedestrian Total,NA,Pandas,0.1,40234588.93,4911.745447,-132%,RandomForest,NA,Removed
Validation Data,Pedestrian Total,NA,KNN,0.3,43680393.27,5199.565323,-148%,RandomForest,NA,Not Removed
Validation Data,Pedestrian Total,NA,KNN,0.3,43872155.39,5225.396968,-153%,RandomForest,NA,Removed
Validation Data,Pedestrian Total,NA,KNN,0.1,44346167.01,5247.333503,-156%,RandomForest,NA,Removed
Validation Data,Pedestrian Total,NA,KNN,0.1,45573329.59,5342.958335,-159%,RandomForest,NA,Not Removed
Validation Data,Pedestrian Total,NA,Pandas,0.1,45870789.41,5351.410594,-161%,RandomForest,NA,Not Removed
Validation Data,Pedestrian Total,NA,Pandas,0.5,52227970.23,5905.787964,-201%,KNN,NA,Removed
Validation Data,Pedestrian Total,NA,Pandas,0.1,52227970.23,5905.787964,-201%,KNN,NA,Removed
Validation Data,Pedestrian Total,NA,Pandas,0.3,52306574.66,5913.748124,-202%,KNN,NA,Removed
Validation Data,Pedestrian Total,NA,KNN,0.5,52536629.28,5933.04383,-203%,KNN,NA,Removed
Validation Data,Pedestrian Total,NA,Pandas,0.5,53831129.78,6017.674189,-206%,KNN,NA,Not Removed
Validation Data,Pedestrian Total,NA,KNN,0.5,53831165.81,6017.675616,-206%,KNN,NA,Not Removed
Validation Data,Pedestrian Total,NA,Pandas,0.3,53913022.56,6025.762378,-206%,KNN,NA,Not Removed
Validation Data,Pedestrian Total,NA,Pandas,0.1,53913022.56,6025.762378,-206%,KNN,NA,Not Removed
Validation Data,Pedestrian Total,NA,KNN,0.3,53210031.33,5989.257176,-207%,KNN,NA,Removed
Validation Data,Pedestrian Total,NA,KNN,0.1,53276220.71,5994.35748,-207%,KNN,NA,Removed
Validation Data,Pedestrian Total,NA,KNN,0.1,54824236.57,6100.669733,-211%,KNN,NA,Not Removed
Validation Data,Pedestrian Total,NA,KNN,0.3,54893938.45,6106.233676,-212%,KNN,NA,Not Removed
