Data Set,Label,Scaled,Imputer,Split,MSE,MAE,R2,Model,Best Params,feature importance,Outliers
Test,Pedestrian Total,Standard,Pandas,0.1,3978758.397,1444.803134,0.673642361,KNN,"{'p': 1, 'n_neighbors': 10, 'leaf_size': 20}",Not Available,Not Removed
Validation Data,Pedestrian Total,Standard,Pandas,0.1,5042552.004,1622.9775,0.713624973,KNN,NA,NA,Not Removed
Train,Pedestrian Total,NA,KNN,0.5,2411691.367,1135.309154,0.948558314,Ridge,"{'normalize': False, 'alpha': 10}",Not Available,Not Removed
Test,Pedestrian Total,NA,KNN,0.5,1027399.669,775.5985715,0.919672936,Ridge,"{'normalize': False, 'alpha': 10}",Not Available,Not Removed
Validation Data,Pedestrian Total,NA,KNN,0.5,25230054.98,4369.527539,-0.432857345,Ridge,NA,NA,Not Removed
Train,Pedestrian Total,NA,Pandas,0.5,2414855.528,1136.276336,0.948490822,Ridge,"{'normalize': False, 'alpha': 10}",Not Available,Not Removed
Test,Pedestrian Total,NA,Pandas,0.5,1532582.009,921.4334995,0.880175343,Ridge,"{'normalize': False, 'alpha': 10}",Not Available,Not Removed
Validation Data,Pedestrian Total,NA,Pandas,0.5,25494189.86,4392.426609,-0.44785801,Ridge,NA,NA,Not Removed
Train,Pedestrian Total,NA,KNN,0.3,1993884.664,1009.661993,0.950867716,Ridge,"{'normalize': False, 'alpha': 10}",Not Available,Not Removed
Test,Pedestrian Total,NA,KNN,0.3,967973.7637,754.0261366,0.920059391,Ridge,"{'normalize': False, 'alpha': 10}",Not Available,Not Removed
Validation Data,Pedestrian Total,NA,KNN,0.3,17027906.9,3306.191399,0.032956469,Ridge,NA,NA,Not Removed
Train,Pedestrian Total,NA,Pandas,0.3,2059138.264,1036.248285,0.949259771,Ridge,"{'normalize': False, 'alpha': 10}",Not Available,Not Removed
Test,Pedestrian Total,NA,Pandas,0.3,1485575.375,891.4925235,0.877312997,Ridge,"{'normalize': False, 'alpha': 10}",Not Available,Not Removed
Validation Data,Pedestrian Total,NA,Pandas,0.3,17075367.48,3347.492795,0.030261102,Ridge,NA,NA,Not Removed
Train,Pedestrian Total,NA,KNN,0.1,1750964.067,938.159845,0.951004381,Ridge,"{'normalize': False, 'alpha': 10}",Not Available,Not Removed
Test,Pedestrian Total,NA,KNN,0.1,970477.093,756.5906616,0.920396621,Ridge,"{'normalize': False, 'alpha': 10}",Not Available,Not Removed
Validation Data,Pedestrian Total,NA,KNN,0.1,16733306.3,3319.64686,0.049687333,Ridge,NA,NA,Not Removed
Train,Pedestrian Total,NA,Pandas,0.1,1880300.886,992.3208311,0.947385268,Ridge,"{'normalize': False, 'alpha': 10}",Not Available,Not Removed
Test,Pedestrian Total,NA,Pandas,0.1,1503954.869,890.3793959,0.876638109,Ridge,"{'normalize': False, 'alpha': 10}",Not Available,Not Removed
Validation Data,Pedestrian Total,NA,Pandas,0.1,15889851.95,3298.05988,0.097588527,Ridge,NA,NA,Not Removed
Train,Pedestrian Total,Standard,KNN,0.5,2411873.649,1135.066276,0.948554426,Ridge,"{'normalize': False, 'alpha': 10}",Not Available,Not Removed
Test,Pedestrian Total,Standard,KNN,0.5,1025667.099,774.9828621,0.919808397,Ridge,"{'normalize': False, 'alpha': 10}",Not Available,Not Removed
Validation Data,Pedestrian Total,Standard,KNN,0.5,4811143.933,1741.690773,0.726767027,Ridge,NA,NA,Not Removed
Train,Pedestrian Total,Standard,Pandas,0.5,2415032.121,1136.024612,0.948487056,Ridge,"{'normalize': False, 'alpha': 10}",Not Available,Not Removed
Test,Pedestrian Total,Standard,Pandas,0.5,1534848.89,924.3527642,0.879998108,Ridge,"{'normalize': False, 'alpha': 10}",Not Available,Not Removed
Validation Data,Pedestrian Total,Standard,Pandas,0.5,4448649.024,1615.535736,0.747353724,Ridge,NA,NA,Not Removed
Train,Pedestrian Total,Standard,KNN,0.3,1993883.955,1009.70261,0.950867734,Ridge,"{'normalize': False, 'alpha': 0.1}",Not Available,Not Removed
Test,Pedestrian Total,Standard,KNN,0.3,968247.8037,754.1721214,0.920036759,Ridge,"{'normalize': False, 'alpha': 0.1}",Not Available,Not Removed
Validation Data,Pedestrian Total,Standard,KNN,0.3,4681272.916,1717.82901,0.734142621,Ridge,NA,NA,Not Removed
Train,Pedestrian Total,Standard,Pandas,0.3,2059129.301,1036.280082,0.949259992,Ridge,"{'normalize': False, 'alpha': 0.001}",Not Available,Not Removed
Test,Pedestrian Total,Standard,Pandas,0.3,1493334.972,893.1069685,0.876672166,Ridge,"{'normalize': False, 'alpha': 0.001}",Not Available,Not Removed
Validation Data,Pedestrian Total,Standard,Pandas,0.3,5757957.892,1851.900235,0.672995867,Ridge,NA,NA,Not Removed
