Data Set,Label,Scaled,Imputer,Split,MSE,MAE,R2,Model,Best Params,feature importance
Train,Pedestrian Total,NA,KNN,0.5,7004.919076933099,43.13098495212039,0.9998505841790807,KNN,"{'p': 1, 'n_neighbors': 7, 'leaf_size': 20}",Not Available
Test,Pedestrian Total,NA,KNN,0.5,3217.9953655880954,39.527327209953754,0.9997484015943261,KNN,"{'p': 1, 'n_neighbors': 7, 'leaf_size': 20}",Not Available
Validation Data,Pedestrian Total,NA,KNN,0.5,53998869.01376153,6032.501777560338,-2.066686780004673,KNN,NA,NA
Train,Pedestrian Total,NA,Pandas,0.5,7005.60399741292,43.13648947951273,0.9998505695696391,KNN,"{'p': 1, 'n_neighbors': 7, 'leaf_size': 30}",Not Available
Test,Pedestrian Total,NA,Pandas,0.5,3215.6883078812916,39.520780405185334,0.9997485819712301,KNN,"{'p': 1, 'n_neighbors': 7, 'leaf_size': 30}",Not Available
Validation Data,Pedestrian Total,NA,Pandas,0.5,53998869.01376153,6032.501777560338,-2.066686780004673,KNN,NA,NA
Train,Pedestrian Total,NA,KNN,0.3,3594.961176710098,31.982451140065148,0.999911414809932,KNN,"{'p': 2, 'n_neighbors': 2, 'leaf_size': 40}",Not Available
Test,Pedestrian Total,NA,KNN,0.3,3101.598356762918,39.73831686930091,0.9997438529110012,KNN,"{'p': 2, 'n_neighbors': 2, 'leaf_size': 40}",Not Available
Validation Data,Pedestrian Total,NA,KNN,0.3,54599389.43390411,6082.058561643836,-2.1007913467707806,KNN,NA,NA
Train,Pedestrian Total,NA,Pandas,0.3,3599.0691571661237,31.990024429967427,0.9999113135831839,KNN,"{'p': 2, 'n_neighbors': 2, 'leaf_size': 20}",Not Available
Test,Pedestrian Total,NA,Pandas,0.3,3101.948280775076,39.73071808510638,0.9997438240123474,KNN,"{'p': 2, 'n_neighbors': 2, 'leaf_size': 20}",Not Available
Validation Data,Pedestrian Total,NA,Pandas,0.3,54599389.43390411,6082.058561643836,-2.1007913467707806,KNN,NA,NA
Train,Pedestrian Total,NA,KNN,0.1,2864.1712109696623,28.315314459433782,0.9999198545288319,KNN,"{'p': 2, 'n_neighbors': 2, 'leaf_size': 40}",Not Available
Test,Pedestrian Total,NA,KNN,0.1,2221.7136752136753,33.61880341880342,0.9998177639463851,KNN,"{'p': 2, 'n_neighbors': 2, 'leaf_size': 40}",Not Available
Validation Data,Pedestrian Total,NA,KNN,0.1,55191699.30479452,6130.547488584475,-2.1344296226069464,KNN,NA,NA
Train,Pedestrian Total,NA,Pandas,0.1,2874.8618500221673,28.339951865222623,0.9999195553825028,KNN,"{'p': 2, 'n_neighbors': 2, 'leaf_size': 50}",Not Available
Test,Pedestrian Total,NA,Pandas,0.1,2222.4985754985755,33.635327635327634,0.9998176995649429,KNN,"{'p': 2, 'n_neighbors': 2, 'leaf_size': 50}",Not Available
Validation Data,Pedestrian Total,NA,Pandas,0.1,55191699.30479452,6130.547488584475,-2.1344296226069464,KNN,NA,NA
Train,Pedestrian Total,Standard,KNN,0.5,504034.7157273141,486.7249202006384,0.9892488749698451,KNN,"{'p': 1, 'n_neighbors': 5, 'leaf_size': 50}",Not Available
Test,Pedestrian Total,Standard,KNN,0.5,2717946.4044003645,1105.6081395348838,0.7874978350290041,KNN,"{'p': 1, 'n_neighbors': 5, 'leaf_size': 50}",Not Available
Validation Data,Pedestrian Total,Standard,KNN,0.5,2545706.016680365,1184.330296803653,0.8554250648260344,KNN,NA,NA
Train,Pedestrian Total,Standard,Pandas,0.5,503819.41724122205,486.78150934792524,0.9892534673141233,KNN,"{'p': 1, 'n_neighbors': 5, 'leaf_size': 50}",Not Available
