Data Set,Label,Scaled,Imputer,Split,MSE,MAE,R2,Model,Best Params,feature importance
Train,Cycle Total,NA,Pandas,0.5,8.823529411759867e-08,1.9721842225230004e-05,0.9999999999976612,RandomForest,"{'n_estimators': 2000, 'max_features': 'log2', 'max_depth': 100, 'bootstrap': False}","[0.020214621509964524 0.03445081312283145 0.0031496492504824018
 0.002761705347766382 0.0020828803545854834 0.0033286115283680967
 0.00013113726010938084 0.007745125690619838 0.010053514245055241
 0.012253937897107192 0.00321863514559479 0.017752441273273748
 0.026688502382193426 0.0045117440608228535 0.00655740805559733
 0.009346756562928212 0.00288967621686659 0.009812832149757542
 0.06889979814684112 0.0003669083141314551 0.0013929792871987072
 0.000997694794152444 0.000988976298119711 0.0011672774671827287
 0.0011861310371951929 0.00472800866060515 0.07290315962749754
 0.0009856402043285644 0.00036607659925115365 0.34896026622058884
 0.01849078510210915 0.02895297865848737 0.07343509697109604
 0.020794032949842056 0.17843419760744822]"
Test,Cycle Total,NA,Pandas,0.5,353.1943087765618,13.47395941632467,0.9767945069870756,RandomForest,"{'n_estimators': 2000, 'max_features': 'log2', 'max_depth': 100, 'bootstrap': False}","[0.020214621509964524 0.03445081312283145 0.0031496492504824018
 0.002761705347766382 0.0020828803545854834 0.0033286115283680967
 0.00013113726010938084 0.007745125690619838 0.010053514245055241
 0.012253937897107192 0.00321863514559479 0.017752441273273748
 0.026688502382193426 0.0045117440608228535 0.00655740805559733
 0.009346756562928212 0.00288967621686659 0.009812832149757542
 0.06889979814684112 0.0003669083141314551 0.0013929792871987072
 0.000997694794152444 0.000988976298119711 0.0011672774671827287
 0.0011861310371951929 0.00472800866060515 0.07290315962749754
 0.0009856402043285644 0.00036607659925115365 0.34896026622058884
 0.01849078510210915 0.02895297865848737 0.07343509697109604
 0.020794032949842056 0.17843419760744822]"
Validation Data,Cycle Total,NA,Pandas,0.5,15248.914038141924,88.27957494292237,-0.6891717014955845,RandomForest,NA,NA
Train,Cycle Total,NA,KNN,0.3,0.0715854291313398,0.15851796878685168,0.9999977904282726,RandomForest,"{'n_estimators': 100, 'max_features': 'log2', 'max_depth': 20, 'bootstrap': False}","[0.03148991513362503 0.045981707503712985 0.0020080940263613864
 0.0038832223809292417 0.0017301135606359102 0.002529155498305387
 0.0011622033907493765 0.011177731951920688 0.010258297029797117
 0.012245762261846956 0.003762397337587798 0.012592238536251776
 0.03307350108470174 0.008979112080076306 0.007200417811159322
 0.018557834909265852 0.0038538685519323265 0.01342133912748815
 0.06261427534050548 0.00029197430915946503 0.0016327910095164113
 0.0009154065489334214 0.0009602555220914845 0.0013704206049132306
 0.001188036686216868 0.0036802130052884193 0.04995081046676572
 0.0009377908204678137 0.0004417007722697157 0.34925865298223263
 0.017015321520180513 0.03200469374359284 0.061047805633883935
 0.015556065722807126 0.17722687313482766]"
Test,Cycle Total,NA,KNN,0.3,94.53960403857005,6.195446880646303,0.9930831606384501,RandomForest,"{'n_estimators': 100, 'max_features': 'log2', 'max_depth': 20, 'bootstrap': False}","[0.03148991513362503 0.045981707503712985 0.0020080940263613864
 0.0038832223809292417 0.0017301135606359102 0.002529155498305387
 0.0011622033907493765 0.011177731951920688 0.010258297029797117
 0.012245762261846956 0.003762397337587798 0.012592238536251776
 0.03307350108470174 0.008979112080076306 0.007200417811159322
 0.018557834909265852 0.0038538685519323265 0.01342133912748815
 0.06261427534050548 0.00029197430915946503 0.0016327910095164113
 0.0009154065489334214 0.0009602555220914845 0.0013704206049132306
 0.001188036686216868 0.0036802130052884193 0.04995081046676572
 0.0009377908204678137 0.0004417007722697157 0.34925865298223263
 0.017015321520180513 0.03200469374359284 0.061047805633883935
 0.015556065722807126 0.17722687313482766]"
Validation Data,Cycle Total,NA,KNN,0.3,15919.851378848298,90.48022678843228,-0.7634936083909298,RandomForest,NA,NA
Train,Cycle Total,NA,Pandas,0.3,0.04854854498165105,0.12763682371228766,0.9999985014898465,RandomForest,"{'n_estimators': 1000, 'max_features': 'log2', 'max_depth': 20, 'bootstrap': False}","[0.02624685887230912 0.03673429190367163 0.0026294319097233385
 0.003458252196147032 0.0020329445803572766 0.0028149267607352367
 0.0012612362086856703 0.01000404297628211 0.012537228859544256
 0.01396363895194651 0.003008195471105762 0.011828533970623133
 0.03458011947500817 0.005293351512619568 0.01129334361729329
 0.010907427210231717 0.003690806078669383 0.013133917793269514
 0.074356433643018 0.00028505372969951567 0.0013845959470506549
 0.0009338368125159497 0.0008764919697976584 0.001225350561400553
 0.0011146804388198958 0.0036807105349484885 0.0626173077801884
 0.0009061167640060155 0.0005047504973209742 0.3477055903135911
 0.021631773903267454 0.032767831371221745 0.06499070357516937
 0.017687274426503113 0.1619129493832585]"
Test,Cycle Total,NA,Pandas,0.3,90.50123794976463,5.935947501949641,0.9933786212531149,RandomForest,"{'n_estimators': 1000, 'max_features': 'log2', 'max_depth': 20, 'bootstrap': False}","[0.02624685887230912 0.03673429190367163 0.0026294319097233385
 0.003458252196147032 0.0020329445803572766 0.0028149267607352367
 0.0012612362086856703 0.01000404297628211 0.012537228859544256
 0.01396363895194651 0.003008195471105762 0.011828533970623133
 0.03458011947500817 0.005293351512619568 0.01129334361729329
 0.010907427210231717 0.003690806078669383 0.013133917793269514
 0.074356433643018 0.00028505372969951567 0.0013845959470506549
 0.0009338368125159497 0.0008764919697976584 0.001225350561400553
 0.0011146804388198958 0.0036807105349484885 0.0626173077801884
 0.0009061167640060155 0.0005047504973209742 0.3477055903135911
 0.021631773903267454 0.032767831371221745 0.06499070357516937
 0.017687274426503113 0.1619129493832585]"
Validation Data,Cycle Total,NA,Pandas,0.3,16280.552055098757,91.49280351160672,-0.8034495930275141,RandomForest,NA,NA
Train,Cycle Total,NA,KNN,0.1,0.0,0.0,1.0,RandomForest,"{'n_estimators': 50, 'max_features': 'log2', 'max_depth': 100, 'bootstrap': False}","[0.026310207247366504 0.04039531846462618 0.004744750681552616
 0.0075302470682779435 0.002749025497881386 0.0022607072936283532
 0.003789190057881346 0.009547773146928208 0.014193518039893176
 0.008777400127258462 0.003779873562066483 0.01649979007073134
 0.027592109006013582 0.004889672328548066 0.006293914042838816
 0.015693125149879254 0.007416706543869771 0.009683699670431282
 0.11994824073695938 0.00020456781385265284 0.0013507474745643672
 0.000942237308418437 0.0008361697709075077 0.0012017806907389514
 0.0012011328627273788 0.0032908008984040378 0.0827586554895505
 0.0008682424813223402 0.00036523186275070935 0.28859099018412704
 0.022208056100325592 0.054290723350437824 0.04949341542303408
 0.013791114387799997 0.1465108651644063]"
