Data Set,Label,Scaled,Imputer,Split,MSE,MAE,R2,Model,Best Params
Validation Data,Cycle Total,NA,KNN,0.1,18621.89906,99.25280822,-1.062808201,KNN,NA
Validation Data,Cycle Total,NA,Pandas,0.1,18661.04206,99.39573059,-1.067144197,KNN,NA
Validation Data,Cycle Total,NA,KNN,0.3,19218.60682,101.4990868,-1.128907456,KNN,NA
Validation Data,Cycle Total,NA,KNN,0.1,20282.688,106.7512557,-1.246779181,Ridge,NA
Validation Data,Cycle Total,NA,Pandas,0.1,20284.84559,106.7512557,-1.247018185,Ridge,NA
Validation Data,Cycle Total,NA,KNN,0.3,20289.9906,106.7512557,-1.247588115,Ridge,NA
Validation Data,Cycle Total,NA,Pandas,0.3,20291.58985,106.7512557,-1.247765268,Ridge,NA
Validation Data,Cycle Total,NA,KNN,0.5,20296.12424,106.7512863,-1.248267558,Ridge,NA
Validation Data,Cycle Total,NA,Pandas,0.5,20444.28939,107.7280164,-1.264680292,Ridge,NA
Validation Data,Pedestrian Total,NA,Pandas,0.5,52690527.33,5919.016037,-1.992383851,RandomForest,NA
Validation Data,Pedestrian Total,NA,KNN,0.5,53066454.33,5953.283598,-2.013733378,RandomForest,NA
Validation Data,Pedestrian Total,NA,KNN,0.3,53695462.43,6005.054642,-2.049455809,RandomForest,NA
Validation Data,Pedestrian Total,NA,KNN,0.1,53831416.9,6018.038868,-2.057176892,RandomForest,NA
Validation Data,Pedestrian Total,NA,KNN,0.5,53998869.01,6032.501778,-2.06668678,KNN,NA
Validation Data,Pedestrian Total,NA,Pandas,0.5,53998869.01,6032.501778,-2.06668678,KNN,NA
Validation Data,Pedestrian Total,NA,Pandas,0.1,54027320.89,6029.412215,-2.06830261,RandomForest,NA
Validation Data,Pedestrian Total,NA,Pandas,0.3,54480995.56,6072.362591,-2.094067559,RandomForest,NA
Validation Data,Pedestrian Total,NA,KNN,0.3,54599389.43,6082.058562,-2.100791347,KNN,NA
Validation Data,Pedestrian Total,NA,Pandas,0.3,54599389.43,6082.058562,-2.100791347,KNN,NA
Validation Data,Pedestrian Total,NA,KNN,0.1,55191699.3,6130.547489,-2.134429623,KNN,NA
Validation Data,Pedestrian Total,NA,Pandas,0.1,55191699.3,6130.547489,-2.134429623,KNN,NA
Validation Data,Pedestrian Total,NA,Pandas,0.3,55732582.27,6175.037331,-2.165147278,Ridge,NA
Validation Data,Pedestrian Total,NA,KNN,0.3,55732669.49,6175.037329,-2.165152231,Ridge,NA
Validation Data,Pedestrian Total,NA,KNN,0.5,55732734.81,6175.037329,-2.165155941,Ridge,NA
Validation Data,Pedestrian Total,NA,Pandas,0.1,55732911.99,6175.037329,-2.165166003,Ridge,NA
Validation Data,Pedestrian Total,NA,KNN,0.1,55732911.99,6175.037329,-2.165166003,Ridge,NA
Validation Data,Pedestrian Total,NA,Pandas,0.5,55733661.06,6175.037329,-2.165208544,Ridge,NA
