Data Set,Label,Scaled,Imputer,Split,MSE,MAE,R2,Model,Best Params,feature importance,Outliers
Validation Data,Pedestrian Total,Standard,Pandas,0.1,4867454.966663242,1584.6157039573823,0.7235690289229921,KNN,NA,NA,Not Removed
Train,Pedestrian Total,Not Scaled,KNN,0.5,2411792.9906032626,1135.3322017329924,0.9485561466705505,Ridge,"{'normalize': False, 'alpha': 10}",Not Available,Not Removed
Test,Pedestrian Total,Not Scaled,KNN,0.5,1009999.4017311453,770.7568694106628,0.9210333731600457,Ridge,"{'normalize': False, 'alpha': 10}",Not Available,Not Removed
Validation Data,Pedestrian Total,Not Scaled,KNN,0.5,25224385.943928704,4368.843383575914,-0.43253539047767786,Ridge,NA,NA,Not Removed
Train,Pedestrian Total,Not Scaled,Pandas,0.5,2414855.528281855,1136.2763364311738,0.9484908223496958,Ridge,"{'normalize': False, 'alpha': 10}",Not Available,Not Removed
Test,Pedestrian Total,Not Scaled,Pandas,0.5,1532582.0087574336,921.4334994679826,0.8801753432925388,Ridge,"{'normalize': False, 'alpha': 10}",Not Available,Not Removed
Validation Data,Pedestrian Total,Not Scaled,Pandas,0.5,25494189.863395013,4392.426609158455,-0.44785800978679546,Ridge,NA,NA,Not Removed
Train,Pedestrian Total,Not Scaled,KNN,0.3,1991391.5821443924,1008.15970515136,0.9509291496812322,Ridge,"{'normalize': True, 'alpha': 0.001}",Not Available,Not Removed
Test,Pedestrian Total,Not Scaled,KNN,0.3,942666.0722836752,746.1224235577491,0.9221494395665809,Ridge,"{'normalize': True, 'alpha': 0.001}",Not Available,Not Removed
Validation Data,Pedestrian Total,Not Scaled,KNN,0.3,16612808.805417974,3333.9016507651754,0.05653058901405972,Ridge,NA,NA,Not Removed
Train,Pedestrian Total,Not Scaled,Pandas,0.3,2059138.263950497,1036.2482849372693,0.9492597706839981,Ridge,"{'normalize': False, 'alpha': 10}",Not Available,Not Removed
Test,Pedestrian Total,Not Scaled,Pandas,0.3,1485575.37526586,891.4925235346445,0.8773129966899553,Ridge,"{'normalize': False, 'alpha': 10}",Not Available,Not Removed
Validation Data,Pedestrian Total,Not Scaled,Pandas,0.3,17075367.480845723,3347.4927952088988,0.03026110224852696,Ridge,NA,NA,Not Removed
Train,Pedestrian Total,Not Scaled,KNN,0.1,1742588.0943412434,935.2799713697252,0.9512387585847253,Ridge,"{'normalize': False, 'alpha': 10}",Not Available,Not Removed
Test,Pedestrian Total,Not Scaled,KNN,0.1,956240.6471950689,749.8128876446672,0.9215643654737637,Ridge,"{'normalize': False, 'alpha': 10}",Not Available,Not Removed
Validation Data,Pedestrian Total,Not Scaled,KNN,0.1,16747639.063908856,3322.791841860426,0.048873351393893594,Ridge,NA,NA,Not Removed
Train,Pedestrian Total,Not Scaled,Pandas,0.1,1880300.8860053762,992.3208311064615,0.9473852680770647,Ridge,"{'normalize': False, 'alpha': 10}",Not Available,Not Removed
Test,Pedestrian Total,Not Scaled,Pandas,0.1,1503954.8689092305,890.3793959368501,0.8766381090494955,Ridge,"{'normalize': False, 'alpha': 10}",Not Available,Not Removed
Validation Data,Pedestrian Total,Not Scaled,Pandas,0.1,15889851.94874373,3298.059879856485,0.09758852736294654,Ridge,NA,NA,Not Removed
Train,Pedestrian Total,Standard,KNN,0.5,2411971.7122504325,1135.0790237642675,0.9485523345149305,Ridge,"{'normalize': False, 'alpha': 10}",Not Available,Not Removed
Test,Pedestrian Total,Standard,KNN,0.5,1008167.8768965495,770.0876548403567,0.9211765706093846,Ridge,"{'normalize': False, 'alpha': 10}",Not Available,Not Removed
Validation Data,Pedestrian Total,Standard,KNN,0.5,4788457.180833991,1739.2398017618139,0.7280554463216689,Ridge,NA,NA,Not Removed
Train,Pedestrian Total,Standard,Pandas,0.5,2415032.121085744,1136.0246119108865,0.9484870556025755,Ridge,"{'normalize': False, 'alpha': 10}",Not Available,Not Removed
Test,Pedestrian Total,Standard,Pandas,0.5,1534848.889926634,924.3527642371561,0.8799981075842086,Ridge,"{'normalize': False, 'alpha': 10}",Not Available,Not Removed
Validation Data,Pedestrian Total,Standard,Pandas,0.5,4448649.024366114,1615.5357359372535,0.7473537242339752,Ridge,NA,NA,Not Removed
Train,Pedestrian Total,Standard,KNN,0.3,1991234.4362057627,1008.8394664960352,0.9509330219908783,Ridge,"{'normalize': False, 'alpha': 0.1}",Not Available,Not Removed
Test,Pedestrian Total,Standard,KNN,0.3,946893.6017616711,747.9570631885078,0.9218003068792089,Ridge,"{'normalize': False, 'alpha': 0.1}",Not Available,Not Removed
Validation Data,Pedestrian Total,Standard,KNN,0.3,4665752.569546459,1717.2989857806965,0.7350240480008112,Ridge,NA,NA,Not Removed
Train,Pedestrian Total,Standard,Pandas,0.3,2059129.3010147014,1036.280082210425,0.9492599915440664,Ridge,"{'normalize': False, 'alpha': 0.001}",Not Available,Not Removed
Test,Pedestrian Total,Standard,Pandas,0.3,1493334.9717464983,893.1069684932355,0.8766721664399693,Ridge,"{'normalize': False, 'alpha': 0.001}",Not Available,Not Removed
Validation Data,Pedestrian Total,Standard,Pandas,0.3,5757957.892188723,1851.900235027524,0.6729958669449418,Ridge,NA,NA,Not Removed
