Model Name,Scaler,Outliers,Dimension Reducer,Best Parameters,R2 Score,Mean Square Error,Mean Absolute Error,Feature Importance,Dimension Reduction
SVR,Robust Scaler,No Outliers,None,"{'svr__C': 100, 'svr__gamma': 0.1}",0.9906793784872558,0.4744197844341684,0.23161495136051502,Not Available,Not Available
Polynomial Features Bayesian,Robust Scaler,Outliers,None,"{'bayesianridge__alpha_init': 1.9, 'bayesianridge__lambda_init': 0.1, 'bayesianridge__n_iter': 300, 'bayesianridge__normalize': False, 'polynomialfeatures__degree': 2}",0.8697367319471028,10.239993736410325,2.3688095150363893,Not Available,Not Available
Polynomial Features Bayesian,Standard Scaler,Outliers,None,"{'bayesianridge__alpha_init': 1.9, 'bayesianridge__lambda_init': 0.001, 'bayesianridge__n_iter': 300, 'bayesianridge__normalize': True, 'polynomialfeatures__degree': 2}",0.8616442821154013,10.8761411080177,2.436186481230928,Not Available,Not Available
Polynomial Features Bayesian,Standard Scaler,No Outliers,None,"{'bayesianridge__alpha_init': 1.2, 'bayesianridge__lambda_init': 0.1, 'bayesianridge__n_iter': 300, 'bayesianridge__normalize': True, 'polynomialfeatures__degree': 2}",0.8601216863649965,7.119808406660154,2.0003379615650636,Not Available,Not Available
Polynomial Features Bayesian,Robust Scaler,No Outliers,None,"{'bayesianridge__alpha_init': 1.1, 'bayesianridge__lambda_init': 0.1, 'bayesianridge__n_iter': 300, 'bayesianridge__normalize': True, 'polynomialfeatures__degree': 2}",0.8499448883637754,7.637807588084697,2.0753762012598957,Not Available,Not Available
XGBRegressor,Robust Scaler,No Outliers,None,"{'xgbregressor__gamma': 0.01, 'xgbregressor__learning_rate': 0.01, 'xgbregressor__max_depth': 2, 'xgbregressor__n_estimators': 1000}",0.81691603065649,9.318976974929992,2.2059624819933625,"[0.013652445748448372 0.09160857647657394 0.08523615449666977
 0.014796714298427105 0.0 0.015281900763511658 0.0 0.0 0.07005870342254639
 0.0645793005824089 0.016591070219874382 0.06914292275905609
 0.023261282593011856 0.07108604907989502 0.04787807911634445
 0.022200273349881172 0.04111334681510925 0.02181614190340042
 0.057445552200078964 0.04482230916619301 0.05268147587776184
 0.01814994588494301 0.0723688155412674 0.05127658694982529
 0.034952349960803986]",Not Available
XGBRegressor,Min Max Scaler,No Outliers,None,"{'xgbregressor__gamma': 0.01, 'xgbregressor__learning_rate': 0.01, 'xgbregressor__max_depth': 2, 'xgbregressor__n_estimators': 1000}",0.81691603065649,9.318976974929992,2.2059624819933625,"[0.013652445748448372 0.09160857647657394 0.08523615449666977
 0.014796714298427105 0.0 0.015281900763511658 0.0 0.0 0.07005870342254639
 0.0645793005824089 0.016591070219874382 0.06914292275905609
 0.023261282593011856 0.07108604907989502 0.04787807911634445
 0.022200273349881172 0.04111334681510925 0.02181614190340042
 0.057445552200078964 0.04482230916619301 0.05268147587776184
 0.01814994588494301 0.0723688155412674 0.05127658694982529
 0.034952349960803986]",Not Available
XGBRegressor,Standard Scaler,No Outliers,None,"{'xgbregressor__gamma': 0.01, 'xgbregressor__learning_rate': 0.01, 'xgbregressor__max_depth': 2, 'xgbregressor__n_estimators': 1000}",0.81691603065649,9.318976974929992,2.2059624819933625,"[0.013652445748448372 0.09160857647657394 0.08523615449666977
 0.014796714298427105 0.0 0.015281900763511658 0.0 0.0 0.07005870342254639
 0.0645793005824089 0.016591070219874382 0.06914292275905609
 0.023261282593011856 0.07108604907989502 0.04787807911634445
 0.022200273349881172 0.04111334681510925 0.02181614190340042
 0.057445552200078964 0.04482230916619301 0.05268147587776184
 0.01814994588494301 0.0723688155412674 0.05127658694982529
 0.034952349960803986]",Not Available
Polynomial Features Bayesian,Min Max Scaler,Outliers,None,"{'bayesianridge__alpha_init': 1, 'bayesianridge__lambda_init': 0.1, 'bayesianridge__n_iter': 300, 'bayesianridge__normalize': True, 'polynomialfeatures__degree': 2}",0.7993660100068514,15.77183523452343,2.9001727308515335,Not Available,Not Available
Polynomial Features Bayesian,Robust Scaler,No Outliers,PCA,"{'bayesianridge__alpha_init': 1.2, 'bayesianridge__lambda_init': 0.1, 'bayesianridge__n_iter': 300, 'bayesianridge__normalize': True, 'polynomialfeatures__degree': 2}",0.7933843574674585,10.516739517529873,2.42782995980894,Not Available,"[[ 1.38754803e-03 -3.09692686e-03  3.19847873e-04  1.62482200e-03
   3.14319802e-03 -1.05770125e-03 -1.52742791e-03 -1.64307362e-03
  -1.60596032e-03  1.74016041e-03  2.07895563e-03 -1.36344199e-03
   4.99018526e-01  5.61674363e-01  1.46111598e-01  2.18066876e-01
  -1.44380001e-01  1.60552737e-01 -1.80775452e-01  1.79594671e-01
   1.59709342e-01 -1.64792039e-01  4.11983100e-01  1.13429811e-01
  -1.40505938e-01]
 [-9.43529242e-04  1.88068844e-03  7.20207226e-03  1.08185790e-02
   3.29437897e-03 -6.28095156e-03 -4.38573039e-03 -8.36340491e-04
   2.50415850e-03 -4.79315551e-03 -4.37720835e-03 -4.08296161e-03
   5.26928590e-02  1.51413142e-01 -1.65366005e-01 -6.93266151e-02
   4.80729151e-01 -1.40419033e-01  4.72420274e-01 -1.20413611e-01
  -4.20626973e-02  3.25977086e-01  3.53731517e-01  4.62789127e-01
   7.75132826e-02]
 [-1.05318112e-02  2.79520952e-02  1.46041868e-02 -4.04291437e-02
  -7.74591762e-02 -5.28315717e-02 -3.12598219e-02  3.15775606e-02
   4.71571663e-03  4.27219198e-02  5.56478469e-02  3.52921988e-02
   2.21249501e-01  3.55533677e-01 -1.35243503e-01 -1.29034898e-01
  -3.96142877e-02 -7.39370183e-02 -1.08379208e-02 -4.34316953e-02
   4.12202915e-01  2.11230631e-01 -4.86316655e-01 -2.20355321e-02
   5.56282079e-01]
 [ 3.68233728e-02 -6.12283512e-02 -4.96869390e-02  4.94586444e-02
   9.74109147e-02  9.56818689e-02  6.32987901e-02 -2.85623758e-02
  -1.63615554e-02 -5.87519523e-02 -7.55501858e-02 -5.25322314e-02
   1.83760215e-01  3.54374956e-01 -1.76104447e-01  5.38573040e-02
   1.77959954e-01  6.50828415e-02  1.36425453e-01 -6.60101176e-02
  -2.96185525e-01  1.68870938e-01 -5.00611615e-01 -1.85209945e-01
  -5.48663124e-01]
 [ 1.55096424e-01 -3.26662437e-02  5.78285829e-02 -6.43829451e-02
   8.26093801e-02  1.12859821e-01  4.14416943e-02 -7.69611851e-03
  -9.27232162e-02 -8.17500971e-02 -9.05676773e-02 -8.00496041e-02
  -6.82283459e-02 -1.19132909e-01 -6.41021458e-02 -1.12331321e-01
  -1.31721277e-01 -4.00558910e-01  1.47895863e-02  6.57402800e-02
   6.57197222e-01  2.13116598e-02 -4.61522107e-02  1.85019467e-01
  -4.79083576e-01]
 [-4.08593345e-02 -2.24383317e-02 -4.81433662e-02  6.23406670e-02
   1.98847328e-02 -1.94192338e-02 -7.66677133e-03 -4.15963056e-02
   2.11517884e-02  1.89653472e-02  2.15379007e-02  3.62429070e-02
  -4.31170451e-02  1.08464697e-01 -2.23850891e-01 -1.20200621e-01
  -5.24163842e-01 -2.71719823e-01 -3.75537807e-01 -2.15508264e-01
  -3.27579656e-01  4.43615868e-01  1.29696887e-01  2.24179707e-01
  -3.25977650e-02]
 [ 6.08535171e-02  5.85045526e-02  1.11328342e-02 -1.11416107e-01
  -1.11650756e-02  8.53281527e-02  3.07877475e-02  1.17631237e-02
  -6.71137562e-02 -1.72345021e-02 -2.38214675e-02 -2.76190194e-02
  -9.47934281e-02 -1.52026304e-01  9.49083522e-03 -4.01286372e-02
   4.82128183e-02  7.42018857e-01 -2.01019648e-01 -3.88296411e-02
   2.49785395e-01  5.02587741e-01  3.86698178e-02  8.95752403e-02
  -1.12141333e-01]
 [-7.72425292e-02 -8.98415863e-02 -2.18475673e-01  1.45168287e-01
   3.36983376e-02  3.29677449e-02  4.88881131e-02 -6.07677299e-04
   8.37238628e-02  2.27776846e-02  2.55894467e-02 -6.64601164e-03
   6.25580415e-02 -1.22610616e-01  4.60301072e-01  5.56246274e-02
  -3.14065029e-02  6.27945636e-03 -2.99128372e-02  3.51222088e-01
  -1.39305630e-01  3.24855972e-02 -3.80371061e-01  6.16308993e-01
   1.18487747e-02]
 [-1.63697514e-01 -4.85225600e-01  5.10589760e-03 -3.44829502e-02
  -1.24857261e-01  1.88327110e-01  1.90233697e-01  6.48278131e-01
  -5.66064021e-02  2.48923600e-03  5.75839718e-02 -2.27148317e-01
   7.46006465e-03  2.15505496e-02 -7.35997331e-02 -1.23112269e-01
  -1.67692301e-02  9.66591127e-02 -4.66252444e-02 -2.75159531e-01
  -2.03860305e-03 -2.11785682e-01 -8.11118074e-03  1.31599310e-01
   8.09386279e-03]
 [ 1.66722623e-02  3.17093193e-02  9.16644181e-03  1.24250410e-03
   9.23597782e-03 -5.45131913e-01  7.88419865e-01 -5.26406210e-02
  -2.76387910e-01  2.00274481e-03  2.38584612e-03  1.33254835e-02
   2.92393371e-04 -3.94713067e-03  1.23462570e-02  8.21090688e-03
  -2.85815131e-04 -4.68700897e-03  1.28635706e-03  6.13712752e-03
   4.15938238e-04  1.11272557e-02  7.40296408e-04 -9.60684218e-04
  -2.67452697e-04]
 [ 1.73339635e-02 -2.49405250e-01  1.54053198e-01 -1.93682294e-01
  -1.81788527e-01  1.41427067e-01  3.04094256e-01 -5.01288472e-01
   6.33972892e-01 -8.48734930e-03  5.22778128e-02 -1.68507295e-01
   1.05225148e-02  8.16593744e-03 -3.31564264e-02 -9.51027247e-02
  -1.17044695e-04  6.14025085e-02 -2.02761200e-02 -1.23827466e-01
   2.37550015e-02 -1.08471330e-01 -6.82108621e-03  6.35884696e-02
   7.84764640e-03]
 [ 2.54842782e-01  4.93662115e-02 -1.14525344e-01 -8.41446163e-02
   1.03359405e-01 -4.61973864e-01 -1.00585110e-01  4.09373458e-01
   5.65814367e-01 -2.64748353e-01 -3.30134093e-01 -2.66448436e-02
  -2.04007904e-03 -1.13060520e-02  5.62975145e-04  2.69075712e-02
  -8.58335854e-03 -2.85409754e-03 -6.67368987e-03  4.77812416e-02
   9.09915304e-03  7.50955086e-02  1.18568677e-02 -3.49471319e-02
  -1.81370227e-02]
 [ 5.56214240e-01 -4.24042404e-01 -5.88387821e-02  7.77051450e-02
   8.13179394e-02 -2.76586486e-01 -2.29507033e-01 -1.26171605e-01
  -1.05070128e-01  5.58355770e-01  4.63778234e-02 -9.97544790e-02
  -7.74451275e-03 -4.45903912e-03 -1.79979795e-02  3.56050801e-03
   1.34625603e-02  6.64669098e-02 -9.89812660e-03 -7.58521347e-02
  -4.78522780e-03 -4.74360923e-02 -1.25417065e-02  3.73285870e-02
  -3.82018059e-03]]"
