Model Name,Scaler,Outliers,Dimension Reducer,Best Parameters,R2 Score,Mean Square Error,Mean Absolute Error,Feature Importance,Dimension Reduction
RandomForestRegressor,Robust Scaler,outliers,None,"{'randomforestregressor__bootstrap': True, 'randomforestregressor__max_depth': 70, 'randomforestregressor__n_estimators': 100}",0.9460056065880681,4.24449853442135,1.4076207715133504,"[0.0050207176998230095 0.11496451031676999 0.11528700024321792
 0.0036510760587456924 0.00259653315084356 0.00439444833279385
 0.006381165563462992 0.004029141316837545 0.009022990628118972
 0.0019999959407357953 0.003571284897951194 0.05499939360583689
 0.03037536874229831 0.04430712861663927 0.022171462782143242
 0.029748592251452835 0.03192972225464527 0.03629054871401846
 0.027444323921101486 0.023743364296264318 0.1489281634084946
 0.007148611115212669 0.0643249401083091 0.04841368495792381
 0.10876869418668494 0.050487136889674177]","Counter({1: 194, 0: 76, 2: 67})"
RandomForestRegressor,Min Max Scaler,outliers,None,"{'randomforestregressor__bootstrap': True, 'randomforestregressor__max_depth': 100, 'randomforestregressor__n_estimators': 500}",0.94221527352204,4.542456565378128,1.4196494362018026,"[0.004496283402568992 0.11347448236128067 0.10912783743644808
 0.002974651931120842 0.0019883840636618676 0.004447924462243985
 0.005413312930942525 0.0033191452221041132 0.009071406816965792
 0.0017412640928122153 0.0031377178201994504 0.054071325427067815
 0.033725306049556175 0.03772815994092407 0.022730187523658126
 0.03449157446895102 0.0281915812624766 0.036197402477753965
 0.030126802115790535 0.02573601490692613 0.15069526922663531
 0.007500473003884433 0.0672614258367397 0.05134143267836453
 0.10362843828367484 0.05738219625724816]","Counter({1: 194, 0: 76, 2: 67})"
RandomForestRegressor,Standard Scaler,outliers,None,"{'randomforestregressor__bootstrap': True, 'randomforestregressor__max_depth': 70, 'randomforestregressor__n_estimators': 200}",0.9404357424043385,4.6823454824258075,1.4511796735905054,"[0.004155501080144294 0.1118827475033267 0.10278824388372267
 0.0032566475848535654 0.0020305535981941336 0.003958478424050155
 0.005384872506213672 0.0027149056538817097 0.01100941929172752
 0.0023237219443993477 0.0031471898678237485 0.05179478481328185
 0.03440546591549996 0.03884419531679348 0.025512529368552857
 0.03139899694301171 0.03237605049766155 0.03985562058611064
 0.029080185832071292 0.025278115658989585 0.15349642604585564
 0.006495230633814996 0.06104408689918612 0.0474232453446689
 0.11130088198733086 0.05904190281883316]","Counter({1: 194, 0: 76, 2: 67})"
RandomForestRegressor,Robust Scaler,outliers,None,"{'randomforestregressor__bootstrap': True, 'randomforestregressor__max_depth': 70, 'randomforestregressor__n_estimators': 200}",0.9382421482308295,1.916981703053558,1.046264642857138,"[0.003798367549851609 0.052400552052255606 0.06522444996973466
 0.0016311271432216427 0.0011368956280013256 0.0031120915089469826
 0.00309648127580285 0.0030882277922573468 0.007604763099588629
 0.007579800395456486 0.0036677952292193867 0.03306643948334778
 0.04177246788048843 0.1316085089551074 0.0424924422899368
 0.02377535856354557 0.028252592960426454 0.03453608813501875
 0.021288974730479592 0.030377182095761988 0.1113109736593677
 0.03787283855436359 0.010286379598420492 0.03183017176629404
 0.10948604510121122 0.15970298458189358]","Counter({1: 60, 2: 42, 0: 38})"
RandomForestRegressor,Min Max Scaler,outliers,None,"{'randomforestregressor__bootstrap': True, 'randomforestregressor__max_depth': 70, 'randomforestregressor__n_estimators': 300}",0.9352134962083958,2.0109919437857324,1.062377857142861,"[0.00439065163230751 0.05929901004323333 0.07016832715513906
 0.0019973149425277907 0.0008151314115462934 0.0032207478142472676
 0.0033509463932507003 0.0032009358842108415 0.008315131639515676
 0.009088598921472922 0.003555382608971121 0.03160020060032935
 0.038973680077846594 0.15102288089578997 0.04071285658527585
 0.024272589178553898 0.026278738289482517 0.026353720059027717
 0.021811610326662446 0.030417404688593976 0.09995626815057176
 0.039353023567833205 0.01059155156146627 0.03989292856535759
 0.09534496798905409 0.15601540101773229]","Counter({1: 60, 2: 42, 0: 38})"
RandomForestRegressor,Standard Scaler,outliers,None,"{'randomforestregressor__bootstrap': True, 'randomforestregressor__max_depth': 10, 'randomforestregressor__n_estimators': 200}",0.9262117553925027,2.290408600054722,1.121328593490869,"[0.004551090378818148 0.04815854829116628 0.06973103148548503
 0.002611713145057732 0.0007183899115499998 0.0027887346368888027
 0.002967748380460512 0.002262076500677807 0.00896585924310817
 0.012869325139359077 0.004195419883812049 0.029028660004299225
 0.03674825500793851 0.13901107542028932 0.05309500819725548
 0.020519484499526338 0.024690794776527258 0.029278613748806293
 0.022265247485785743 0.030457118117924068 0.10105202699208188
 0.040282277044823914 0.008445948955546134 0.03821688561586144
 0.08913606482418107 0.17795260231276963]","Counter({1: 60, 2: 42, 0: 38})"
XGBRegressor,Standard Scaler,outliers,None,"{'xgbregressor__gamma': 1.0, 'xgbregressor__learning_rate': 0.1, 'xgbregressor__max_depth': 2, 'xgbregressor__n_estimators': 100}",0.9098919784480889,2.796979228794985,1.2860593359810963,Not Available,"Counter({1: 60, 2: 42, 0: 38})"
XGBRegressor,Robust Scaler,outliers,None,"{'xgbregressor__gamma': 1.0, 'xgbregressor__learning_rate': 0.1, 'xgbregressor__max_depth': 2, 'xgbregressor__n_estimators': 100}",0.9098919784480889,2.796979228794985,1.2860593359810963,Not Available,"Counter({1: 60, 2: 42, 0: 38})"
XGBRegressor,Min Max Scaler,outliers,None,"{'xgbregressor__gamma': 1.0, 'xgbregressor__learning_rate': 0.1, 'xgbregressor__max_depth': 2, 'xgbregressor__n_estimators': 100}",0.9098919784480889,2.796979228794985,1.2860593359810963,Not Available,"Counter({1: 60, 2: 42, 0: 38})"
RandomForestRegressor,Min Max Scaler,outliers,KMeans,"{'randomforestregressor__bootstrap': True, 'randomforestregressor__max_depth': 70, 'randomforestregressor__n_estimators': 200}",0.8949884367961658,3.2595895016428367,1.3927107142856998,[0.3101925450189357 0.27760499258474375 0.4122024623963206],"Counter({1: 60, 2: 42, 0: 38})"
RandomForestRegressor,Min Max Scaler,outliers,PCA,"{'randomforestregressor__bootstrap': True, 'randomforestregressor__max_depth': 50, 'randomforestregressor__n_estimators': 100}",0.8917629864585959,8.508510167744772,2.0984388724035576,[0.3446497361411622 0.2954079745364696 0.35994228932236816],"[[ 0.00709995  0.00168127  0.00846244  0.00909637 -0.00355906  0.00135684
  -0.00375675 -0.00441519 -0.00614491 -0.00518024 -0.00219193 -0.0024488
   0.34308738  0.34134147  0.31532186  0.44280875 -0.18666852  0.12056574
  -0.19530327  0.32262231  0.1659491   0.32554719 -0.19138348  0.27378415
   0.10937866 -0.14580661]
 [ 0.19824674 -0.15922138 -0.07175442  0.13510982  0.38510091  0.29190528
   0.15874426 -0.09547803 -0.103684   -0.25158526 -0.27643444 -0.2109495
  -0.08778873 -0.09495893  0.08674132  0.01508764 -0.10195101  0.09086762
  -0.11150617  0.01722853 -0.14717318 -0.03300613 -0.15159987 -0.21566581
  -0.30711741 -0.4546792 ]
 [ 0.29699633 -0.09526026  0.05179241 -0.13367907  0.18678358  0.20869835
   0.07381308 -0.08922641 -0.11534057 -0.11984252 -0.12557309 -0.13916184
   0.11242574  0.13759116 -0.31191513 -0.01400504  0.20214476 -0.2677565
   0.2380314  -0.12949196  0.15513524  0.00780078  0.11808354  0.33537365
   0.48478412 -0.16403999]]"
