Model Name,Scaler,Outliers,Dimension Reducer,Best Parameters,R2 Score,Mean Square Error,Mean Absolute Error,Feature Importance,Dimension Reduction
XGBRegressor,Robust Scaler,No Outliers,None,"{'xgbregressor__gamma': 1.0, 'xgbregressor__learning_rate': 0.1, 'xgbregressor__max_depth': 6, 'xgbregressor__n_estimators': 100}",0.9938503136425552,0.31301913419052096,0.41694327295073796,Not Available,Not Available
XGBRegressor,Standard Scaler,No Outliers,None,"{'xgbregressor__gamma': 1.0, 'xgbregressor__learning_rate': 0.1, 'xgbregressor__max_depth': 6, 'xgbregressor__n_estimators': 100}",0.9938503136425552,0.31301913419052096,0.41694327295073796,Not Available,Not Available
XGBRegressor,Min Max Scaler,No Outliers,None,"{'xgbregressor__gamma': 1.0, 'xgbregressor__learning_rate': 0.1, 'xgbregressor__max_depth': 6, 'xgbregressor__n_estimators': 100}",0.9938503136425552,0.31301913419052096,0.41694327295073796,Not Available,Not Available
XGBRegressor,Min Max Scaler,Outliers,PCA,"{'xgbregressor__gamma': 1.0, 'xgbregressor__learning_rate': 0.1, 'xgbregressor__max_depth': 4, 'xgbregressor__n_estimators': 100}",0.9569635353473457,3.3830959031479906,1.3976838425995686,Not Available,"[[ 9.20877378e-03  2.46423077e-03  8.51496260e-03  3.03003647e-03
  -1.49324386e-03  6.10841926e-04 -2.31999387e-03 -5.32439474e-03
  -5.45327016e-03 -3.90766872e-03 -3.12539729e-03 -2.20487691e-03
   3.61104610e-01  3.58080974e-01  3.34152607e-01  4.67327790e-01
  -1.98659926e-01  1.29126042e-01 -2.08007050e-01  3.41064018e-01
   1.77640462e-01 -2.04280320e-01  2.90640010e-01  1.13312542e-01
  -1.57260577e-01]
 [ 1.95237707e-01 -1.61160421e-01 -7.19796295e-02  1.46740910e-01
   3.83237261e-01  2.94243086e-01  1.56880992e-01 -9.48145894e-02
  -1.05201813e-01 -2.54883188e-01 -2.76033975e-01 -2.12266341e-01
  -9.15856111e-02 -9.80660762e-02  8.05936095e-02  9.17466687e-03
  -9.81379532e-02  8.73942644e-02 -1.07321267e-01  1.20091036e-02
  -1.51701473e-01 -1.47921384e-01 -2.19432694e-01 -3.06346255e-01
  -4.52163306e-01]
 [ 2.99983907e-01 -9.38502172e-02  5.24699472e-02 -1.41283023e-01
   1.87128022e-01  2.07141532e-01  7.45428332e-02 -8.93810883e-02
  -1.14947845e-01 -1.17860770e-01 -1.25684822e-01 -1.38258476e-01
   1.13099652e-01  1.38026760e-01 -3.10015363e-01 -1.28878671e-02
   2.01156772e-01 -2.66581606e-01  2.36893887e-01 -1.28085957e-01
   1.57233963e-01  1.17568691e-01  3.35933526e-01  4.84307557e-01
  -1.63946046e-01]
 [ 7.05049090e-01  1.24201795e-01  2.41406154e-01 -3.62392029e-01
  -2.82538697e-01 -8.37596378e-02 -1.41309159e-01  8.13405940e-02
  -2.54811387e-01 -2.67114916e-02 -2.66621956e-02  2.61869664e-02
  -4.25772086e-02 -5.40534103e-02  9.20561123e-02 -3.60721636e-02
  -6.29171754e-02  8.57767855e-02 -7.45583929e-02  3.80352355e-02
   1.76225382e-01  1.01132649e-03 -1.68066837e-01 -1.55165058e-01
   3.45889722e-02]
 [-5.03454012e-01  2.54803937e-01  5.93345357e-01 -2.63448152e-01
   3.17699249e-02  2.87992410e-01  6.18515929e-02  1.34832390e-01
  -3.39651444e-01 -1.02267646e-01 -1.14769502e-01 -4.10048567e-02
  -2.85260425e-03 -1.58371734e-03 -3.26095582e-02 -3.05373359e-03
  -1.58602568e-02 -2.54111718e-03 -1.41210614e-02 -1.28052690e-02
   7.23545147e-02 -5.43339290e-02 -3.37976731e-02 -4.86329272e-02
  -1.07831212e-02]
 [ 9.18767545e-02  2.16838525e-01  3.90891237e-01  6.82551862e-01
  -2.31583603e-01 -2.27422630e-01 -1.43464275e-01 -2.49888066e-01
  -3.66819050e-02 -1.28371863e-01 -8.57291116e-02 -2.79016925e-01
   3.63541707e-02  4.58837332e-02 -1.23867406e-01  1.44021164e-02
  -9.28091836e-05 -6.66857694e-02  1.28127359e-02 -5.00568405e-02
  -5.59892223e-03 -8.81564201e-02  1.28506227e-02  2.00012438e-02
  -1.17741734e-03]
 [-3.60341340e-03 -4.29994547e-01  3.87034692e-02  2.93796062e-01
  -1.68998399e-01  1.85519361e-01 -2.09607312e-03 -9.79926973e-02
  -4.75440797e-01 -1.54085266e-01  2.16922284e-01  5.97270015e-01
   1.04107205e-02  1.19519099e-02 -1.94772527e-02  2.74634365e-03
   1.77910964e-03 -1.22246926e-02  4.00362888e-03 -6.43528016e-03
   6.25945416e-04  7.20327428e-03 -1.73296216e-03  1.46862312e-02
  -8.01323430e-04]
 [ 3.96769007e-03  3.64795872e-01  2.17701194e-02 -1.49205087e-01
   1.68963840e-01 -1.43285979e-01  2.18956749e-02 -5.25158351e-01
   2.21135251e-01 -2.45596688e-01 -3.02927309e-01  5.63644967e-01
  -6.27861632e-05  5.59116463e-05 -4.42846306e-03 -7.89950648e-04
  -2.02565898e-03 -5.14800323e-04 -1.76673239e-03 -6.69809641e-04
  -1.97243811e-04  2.31217979e-03  1.84443745e-03 -1.02785805e-02
   1.23804637e-04]
 [-1.08345421e-03 -1.56070894e-01  9.76468637e-02 -8.21349969e-02
  -4.30000459e-01 -8.27655749e-02  7.40648614e-01  4.45356109e-02
   2.70020279e-01 -3.74181216e-01  3.00830966e-02 -5.66978696e-02
  -3.69179343e-04 -5.47335437e-04  3.80698579e-03  7.35863492e-04
  -3.28438678e-04  1.94833191e-03 -6.79443941e-04 -1.80249845e-03
  -1.28462443e-06  8.56148864e-05  1.88166149e-04 -8.00858251e-05
   1.77325758e-05]
 [-0.00000000e+00  4.91267054e-01 -3.78871541e-01 -1.89236080e-03
  -1.54068662e-01  3.75819692e-01 -9.45612874e-02 -1.08635789e-01
  -7.54357355e-02 -4.03022071e-01  4.91110311e-01 -1.41709611e-01
   1.21813149e-14  1.84731904e-14 -1.02124755e-13 -2.41480046e-14
   6.52726443e-14 -8.90597524e-14  7.78748669e-14  1.05849239e-13
   3.82124569e-15 -6.57324709e-14 -1.40627540e-14  1.97208584e-13
  -5.23620944e-15]
 [-0.00000000e+00  1.84614327e-01 -2.50066531e-01  8.45636713e-02
  -4.21583343e-01  3.93321615e-01  2.30878474e-01 -2.18102745e-01
  -1.40945809e-01  5.33865836e-01 -3.97549644e-01  1.00414827e-03
   4.80244346e-14  5.64025439e-14 -1.27357609e-13  2.88979756e-15
   3.52098206e-15 -6.97698036e-14  1.65474407e-14 -1.17292183e-14
   2.63301328e-15  3.72001817e-14 -1.14299762e-14  3.82085680e-14
  -1.97270447e-15]
 [ 0.00000000e+00 -2.26584759e-01  1.45596816e-01  1.53983510e-03
  -2.88190340e-01  4.70712702e-01 -4.67417138e-01  1.38860115e-01
   5.44473252e-01 -1.86626763e-01 -2.16236453e-01  8.38727332e-02
  -4.73446571e-14 -5.80147117e-14  1.75437212e-13  1.40018696e-14
  -3.24369728e-14  1.09420396e-13 -5.07064903e-14 -5.59639415e-14
  -3.54546478e-15  4.07063694e-15  3.30610171e-14 -1.28795403e-13
   3.34466230e-15]
 [ 2.12337356e-03  2.66272983e-01 -2.94224080e-01  2.09799504e-01
  -3.87544155e-02 -1.54916328e-01 -3.93705529e-03  6.62896041e-01
  -1.61802770e-01 -2.66683016e-01 -4.25028078e-01  2.04253842e-01
   2.88122135e-02  3.38753623e-02 -5.42575299e-02  9.51330134e-03
   2.17511017e-02 -4.29807592e-02  2.83532457e-02 -2.07744289e-02
   2.81627161e-03  3.06806115e-03  2.61264920e-02  6.78278650e-02
  -5.08755481e-03]
 [ 1.91927019e-03  1.66875235e-02  7.72500546e-02  1.41989641e-01
   6.39880008e-02  5.59628387e-02  2.17021934e-02 -4.14161499e-02
  -5.80573268e-02 -9.67736028e-02 -9.73927853e-02 -8.58596572e-02
  -1.26357014e-01 -1.74445794e-01  5.65844331e-01 -1.25018700e-01
   1.54223043e-01  2.23682621e-01  9.88263050e-02  2.25661154e-01
   1.86056538e-02  6.02228696e-01  9.78489360e-02  2.00676380e-01
   7.06925960e-02]
 [-3.67571362e-02 -6.88857213e-02 -7.41599106e-02  9.39912137e-02
   1.46628972e-01  8.12817629e-02  6.21091570e-02 -4.76707437e-02
   3.03762031e-02 -5.50654147e-02 -6.30909700e-02 -6.87574122e-02
   2.46898728e-01  2.59846361e-01 -2.24828606e-01 -1.57857242e-01
  -2.61145362e-01  1.21377399e-01 -2.64078144e-01 -1.79924767e-02
   4.34366206e-01  3.09432973e-01 -4.64273941e-01  1.04816280e-01
   2.54507432e-01]]"
RandomForestRegressor,Robust Scaler,Outliers,None,"{'randomforestregressor__bootstrap': True, 'randomforestregressor__max_depth': 100, 'randomforestregressor__n_estimators': 200}",0.9437817976439165,4.419312125385758,1.4177436201780413,"[0.0048333207427561625 0.11598291043615097 0.11374966548296939
 0.0036793307334426553 0.002085079901541464 0.004713826158390758
 0.005133204438957767 0.003308970767783843 0.010870768384303725
 0.0017037940630006154 0.00343188788353102 0.05592537380936824
 0.03342461153530521 0.03943499962414823 0.023330603676611605
 0.030188889583913067 0.030760604965450817 0.036563105238347784
 0.028830059005108648 0.025789030330938465 0.14725272972586964
 0.06814489857718109 0.050757894750872015 0.10530078400716403
 0.05480365617689276]",Not Available
RandomForestRegressor,Min Max Scaler,Outliers,None,"{'randomforestregressor__bootstrap': True, 'randomforestregressor__max_depth': 100, 'randomforestregressor__n_estimators': 300}",0.9417778592246018,4.576841697372251,1.4201866468842714,"[0.0045794067786829465 0.11321381967119513 0.10447255230708516
 0.003476093720670076 0.0021512287522347222 0.004414190518947432
 0.005753779531192065 0.00346391960595328 0.00948846420712048
 0.002427677500874916 0.0030633933104144877 0.05317417371478576
 0.03339204932623897 0.040927145554660295 0.02269921336348267
 0.030084125845336727 0.02963414653475421 0.03668530312601411
 0.030383170583027027 0.024768853500009944 0.15453561684831224
 0.06422379027905976 0.05269143475328671 0.11176080656407435
 0.05853564410258652]",Not Available
RandomForestRegressor,Standard Scaler,No Outliers,None,"{'randomforestregressor__bootstrap': True, 'randomforestregressor__max_depth': 50, 'randomforestregressor__n_estimators': 300}",0.9381358653806551,3.1488854439788283,1.2350020746887975,"[0.00711529097893482 0.10512078513434935 0.10816080524454667
 0.0029680425723129394 0.002419668963849968 0.0041345250981363905
 0.0019786563357807553 0.0035729887351246092 0.019503286365158468
 0.0034195649618415794 0.004662851772179415 0.05540985238580195
 0.023966670523029338 0.04647324098818812 0.030174296062462278
 0.01996969672255395 0.0423158874615305 0.04300303168119861
 0.04979550530104031 0.06241598636570449 0.10497722584604792
 0.02199139774697206 0.05141844362342541 0.13527187688663256
 0.049760422243197544]",Not Available
RandomForestRegressor,Standard Scaler,Outliers,None,"{'randomforestregressor__bootstrap': True, 'randomforestregressor__max_depth': 100, 'randomforestregressor__n_estimators': 100}",0.9373021750875368,4.928675166735894,1.4424109792284856,"[0.004986457039956016 0.1106407963237785 0.11314508921786072
 0.00316336618667543 0.0013543554186512777 0.004529807675035785
 0.005957989933542689 0.003201254012898851 0.009314773605744932
 0.001516582801944323 0.002629933585545615 0.05245839764362322
 0.03337898250455837 0.044346775758608514 0.022009125475030582
 0.031209428853618434 0.029925130539581034 0.03859773809624525
 0.02629623252012441 0.028336758667457215 0.15830642229625705
 0.0675906304480396 0.052297258680886645 0.09694053588172723
 0.05786617683260836]",Not Available
RandomForestRegressor,Min Max Scaler,Outliers,PCA,"{'randomforestregressor__bootstrap': True, 'randomforestregressor__max_depth': 100, 'randomforestregressor__n_estimators': 200}",0.9362768058629071,5.009279427589011,1.498762759643914,"[0.13914229614765408 0.093876460052595 0.12182998529800673
 0.02214932886572345 0.24264261319044125 0.05937900076260625
 0.05718273929789784 0.10066450783826689 0.019922607166943385
 0.006385079466172643 0.0028806395836760753 0.007494007860499126
 0.014670425367194616 0.06766895775803451 0.04411135134428805]","[[ 9.20877378e-03  2.46423077e-03  8.51496260e-03  3.03003647e-03
  -1.49324386e-03  6.10841926e-04 -2.31999387e-03 -5.32439474e-03
  -5.45327016e-03 -3.90766872e-03 -3.12539729e-03 -2.20487691e-03
   3.61104610e-01  3.58080974e-01  3.34152607e-01  4.67327790e-01
  -1.98659926e-01  1.29126042e-01 -2.08007050e-01  3.41064018e-01
   1.77640462e-01 -2.04280320e-01  2.90640010e-01  1.13312542e-01
  -1.57260577e-01]
 [ 1.95237707e-01 -1.61160421e-01 -7.19796295e-02  1.46740910e-01
   3.83237261e-01  2.94243086e-01  1.56880992e-01 -9.48145894e-02
  -1.05201813e-01 -2.54883188e-01 -2.76033975e-01 -2.12266341e-01
  -9.15856111e-02 -9.80660762e-02  8.05936095e-02  9.17466687e-03
  -9.81379532e-02  8.73942644e-02 -1.07321267e-01  1.20091036e-02
  -1.51701473e-01 -1.47921384e-01 -2.19432694e-01 -3.06346255e-01
  -4.52163306e-01]
 [ 2.99983907e-01 -9.38502172e-02  5.24699472e-02 -1.41283023e-01
   1.87128022e-01  2.07141532e-01  7.45428332e-02 -8.93810883e-02
  -1.14947845e-01 -1.17860770e-01 -1.25684822e-01 -1.38258476e-01
   1.13099652e-01  1.38026760e-01 -3.10015363e-01 -1.28878671e-02
   2.01156772e-01 -2.66581606e-01  2.36893887e-01 -1.28085957e-01
   1.57233963e-01  1.17568691e-01  3.35933526e-01  4.84307557e-01
  -1.63946046e-01]
 [ 7.05049090e-01  1.24201795e-01  2.41406154e-01 -3.62392029e-01
  -2.82538697e-01 -8.37596378e-02 -1.41309159e-01  8.13405940e-02
  -2.54811387e-01 -2.67114916e-02 -2.66621956e-02  2.61869664e-02
  -4.25772086e-02 -5.40534103e-02  9.20561123e-02 -3.60721636e-02
  -6.29171754e-02  8.57767855e-02 -7.45583929e-02  3.80352355e-02
   1.76225382e-01  1.01132649e-03 -1.68066837e-01 -1.55165058e-01
   3.45889722e-02]
 [-5.03454012e-01  2.54803937e-01  5.93345357e-01 -2.63448152e-01
   3.17699249e-02  2.87992410e-01  6.18515929e-02  1.34832390e-01
  -3.39651444e-01 -1.02267646e-01 -1.14769502e-01 -4.10048567e-02
  -2.85260425e-03 -1.58371734e-03 -3.26095582e-02 -3.05373359e-03
  -1.58602568e-02 -2.54111718e-03 -1.41210614e-02 -1.28052690e-02
   7.23545147e-02 -5.43339290e-02 -3.37976731e-02 -4.86329272e-02
  -1.07831212e-02]
 [ 9.18767545e-02  2.16838525e-01  3.90891237e-01  6.82551862e-01
  -2.31583603e-01 -2.27422630e-01 -1.43464275e-01 -2.49888066e-01
  -3.66819050e-02 -1.28371863e-01 -8.57291116e-02 -2.79016925e-01
   3.63541707e-02  4.58837332e-02 -1.23867406e-01  1.44021164e-02
  -9.28091836e-05 -6.66857694e-02  1.28127359e-02 -5.00568405e-02
  -5.59892223e-03 -8.81564201e-02  1.28506227e-02  2.00012438e-02
  -1.17741734e-03]
 [-3.60341340e-03 -4.29994547e-01  3.87034692e-02  2.93796062e-01
  -1.68998399e-01  1.85519361e-01 -2.09607312e-03 -9.79926973e-02
  -4.75440797e-01 -1.54085266e-01  2.16922284e-01  5.97270015e-01
   1.04107205e-02  1.19519099e-02 -1.94772527e-02  2.74634365e-03
   1.77910964e-03 -1.22246926e-02  4.00362888e-03 -6.43528016e-03
   6.25945416e-04  7.20327428e-03 -1.73296216e-03  1.46862312e-02
  -8.01323430e-04]
 [ 3.96769007e-03  3.64795872e-01  2.17701194e-02 -1.49205087e-01
   1.68963840e-01 -1.43285979e-01  2.18956749e-02 -5.25158351e-01
   2.21135251e-01 -2.45596688e-01 -3.02927309e-01  5.63644967e-01
  -6.27861632e-05  5.59116463e-05 -4.42846306e-03 -7.89950648e-04
  -2.02565898e-03 -5.14800323e-04 -1.76673239e-03 -6.69809641e-04
  -1.97243811e-04  2.31217979e-03  1.84443745e-03 -1.02785805e-02
   1.23804637e-04]
 [-1.08345421e-03 -1.56070894e-01  9.76468637e-02 -8.21349969e-02
  -4.30000459e-01 -8.27655749e-02  7.40648614e-01  4.45356109e-02
   2.70020279e-01 -3.74181216e-01  3.00830966e-02 -5.66978696e-02
  -3.69179343e-04 -5.47335437e-04  3.80698579e-03  7.35863492e-04
  -3.28438678e-04  1.94833191e-03 -6.79443941e-04 -1.80249845e-03
  -1.28462443e-06  8.56148864e-05  1.88166149e-04 -8.00858251e-05
   1.77325758e-05]
 [-0.00000000e+00  4.91267054e-01 -3.78871541e-01 -1.89236080e-03
  -1.54068662e-01  3.75819692e-01 -9.45612874e-02 -1.08635789e-01
  -7.54357355e-02 -4.03022071e-01  4.91110311e-01 -1.41709611e-01
   1.21813149e-14  1.84731904e-14 -1.02124755e-13 -2.41480046e-14
   6.52726443e-14 -8.90597524e-14  7.78748669e-14  1.05849239e-13
   3.82124569e-15 -6.57324709e-14 -1.40627540e-14  1.97208584e-13
  -5.23620944e-15]
 [-0.00000000e+00  1.84614327e-01 -2.50066531e-01  8.45636713e-02
  -4.21583343e-01  3.93321615e-01  2.30878474e-01 -2.18102745e-01
  -1.40945809e-01  5.33865836e-01 -3.97549644e-01  1.00414827e-03
   4.80244346e-14  5.64025439e-14 -1.27357609e-13  2.88979756e-15
   3.52098206e-15 -6.97698036e-14  1.65474407e-14 -1.17292183e-14
   2.63301328e-15  3.72001817e-14 -1.14299762e-14  3.82085680e-14
  -1.97270447e-15]
 [ 0.00000000e+00 -2.26584759e-01  1.45596816e-01  1.53983510e-03
  -2.88190340e-01  4.70712702e-01 -4.67417138e-01  1.38860115e-01
   5.44473252e-01 -1.86626763e-01 -2.16236453e-01  8.38727332e-02
  -4.73446571e-14 -5.80147117e-14  1.75437212e-13  1.40018696e-14
  -3.24369728e-14  1.09420396e-13 -5.07064903e-14 -5.59639415e-14
  -3.54546478e-15  4.07063694e-15  3.30610171e-14 -1.28795403e-13
   3.34466230e-15]
 [ 2.12337356e-03  2.66272983e-01 -2.94224080e-01  2.09799504e-01
  -3.87544155e-02 -1.54916328e-01 -3.93705529e-03  6.62896041e-01
  -1.61802770e-01 -2.66683016e-01 -4.25028078e-01  2.04253842e-01
   2.88122135e-02  3.38753623e-02 -5.42575299e-02  9.51330134e-03
   2.17511017e-02 -4.29807592e-02  2.83532457e-02 -2.07744289e-02
   2.81627161e-03  3.06806115e-03  2.61264920e-02  6.78278650e-02
  -5.08755481e-03]
 [ 1.91927019e-03  1.66875235e-02  7.72500546e-02  1.41989641e-01
   6.39880008e-02  5.59628387e-02  2.17021934e-02 -4.14161499e-02
  -5.80573268e-02 -9.67736028e-02 -9.73927853e-02 -8.58596572e-02
  -1.26357014e-01 -1.74445794e-01  5.65844331e-01 -1.25018700e-01
   1.54223043e-01  2.23682621e-01  9.88263050e-02  2.25661154e-01
   1.86056538e-02  6.02228696e-01  9.78489360e-02  2.00676380e-01
   7.06925960e-02]
 [-3.67571362e-02 -6.88857213e-02 -7.41599106e-02  9.39912137e-02
   1.46628972e-01  8.12817629e-02  6.21091570e-02 -4.76707437e-02
   3.03762031e-02 -5.50654147e-02 -6.30909700e-02 -6.87574122e-02
   2.46898728e-01  2.59846361e-01 -2.24828606e-01 -1.57857242e-01
  -2.61145362e-01  1.21377399e-01 -2.64078144e-01 -1.79924767e-02
   4.34366206e-01  3.09432973e-01 -4.64273941e-01  1.04816280e-01
   2.54507432e-01]]"
RandomForestRegressor,Min Max Scaler,No Outliers,None,"{'randomforestregressor__bootstrap': True, 'randomforestregressor__max_depth': 50, 'randomforestregressor__n_estimators': 100}",0.9335575730418383,3.3819205974273654,1.25678423236514,"[0.006014796265145105 0.10830254719690158 0.10634999145089942
 0.001832569657479531 0.0027796402880273918 0.003839266849944036
 0.002773704422233927 0.0043202762570757666 0.02109911629273799
 0.0031931777411210124 0.0043516690552094575 0.05909675652585019
 0.021607548861848673 0.041747682285394085 0.03254143213487828
 0.021336509705756814 0.04270462196168902 0.035823835856310784
 0.05531659842298741 0.06566006470214383 0.10662151088832002
 0.02584169881571104 0.044858110688404854 0.136036452232396
 0.045950421441533766]",Not Available
