Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
TCL,Crops and livestock products,79,Germany,5622,Import Value,867,"Meat, cattle",2009,2009,1000 US$,378951,,Official data
TCL,Crops and livestock products,79,Germany,5622,Import Value,867,"Meat, cattle",2010,2010,1000 US$,389849,,Official data
TCL,Crops and livestock products,79,Germany,5622,Import Value,867,"Meat, cattle",2011,2011,1000 US$,717903,,Official data
TCL,Crops and livestock products,79,Germany,5622,Import Value,867,"Meat, cattle",2012,2012,1000 US$,720973,,Official data
TCL,Crops and livestock products,79,Germany,5622,Import Value,867,"Meat, cattle",2013,2013,1000 US$,669312,,Official data
TCL,Crops and livestock products,79,Germany,5622,Import Value,867,"Meat, cattle",2014,2014,1000 US$,630168,,Official data
TCL,Crops and livestock products,79,Germany,5622,Import Value,867,"Meat, cattle",2015,2015,1000 US$,577889,,Official data
TCL,Crops and livestock products,79,Germany,5622,Import Value,867,"Meat, cattle",2016,2016,1000 US$,542870,,Official data
TCL,Crops and livestock products,79,Germany,5622,Import Value,867,"Meat, cattle",2017,2017,1000 US$,592375,,Official data
TCL,Crops and livestock products,79,Germany,5622,Import Value,867,"Meat, cattle",2018,2018,1000 US$,602530,,Official data
TCL,Crops and livestock products,79,Germany,5622,Import Value,867,"Meat, cattle",2019,2019,1000 US$,533622,,Official data
TCL,Crops and livestock products,79,Germany,5622,Import Value,867,"Meat, cattle",2020,2020,1000 US$,533743,,Official data
TCL,Crops and livestock products,79,Germany,5910,Export Quantity,867,"Meat, cattle",1992,1992,tonnes,499140,,Official data
TCL,Crops and livestock products,79,Germany,5910,Export Quantity,867,"Meat, cattle",1993,1993,tonnes,389323,,Official data
TCL,Crops and livestock products,79,Germany,5910,Export Quantity,867,"Meat, cattle",1994,1994,tonnes,304111,,Official data
TCL,Crops and livestock products,79,Germany,5910,Export Quantity,867,"Meat, cattle",1995,1995,tonnes,243237,,Official data
TCL,Crops and livestock products,79,Germany,5910,Export Quantity,867,"Meat, cattle",1996,1996,tonnes,250509,,Official data
TCL,Crops and livestock products,79,Germany,5910,Export Quantity,867,"Meat, cattle",1997,1997,tonnes,265330,,Official data
TCL,Crops and livestock products,79,Germany,5910,Export Quantity,867,"Meat, cattle",1998,1998,tonnes,246376,,Official data
TCL,Crops and livestock products,79,Germany,5910,Export Quantity,867,"Meat, cattle",1999,1999,tonnes,165915,,Official data
TCL,Crops and livestock products,79,Germany,5910,Export Quantity,867,"Meat, cattle",2000,2000,tonnes,173250,,Official data
TCL,Crops and livestock products,79,Germany,5910,Export Quantity,867,"Meat, cattle",2001,2001,tonnes,208589,,Official data
TCL,Crops and livestock products,79,Germany,5910,Export Quantity,867,"Meat, cattle",2002,2002,tonnes,214068,,Official data
TCL,Crops and livestock products,79,Germany,5910,Export Quantity,867,"Meat, cattle",2003,2003,tonnes,198301,,Official data
TCL,Crops and livestock products,79,Germany,5910,Export Quantity,867,"Meat, cattle",2004,2004,tonnes,210295,,Official data
TCL,Crops and livestock products,79,Germany,5910,Export Quantity,867,"Meat, cattle",2005,2005,tonnes,169330,,Official data
TCL,Crops and livestock products,79,Germany,5910,Export Quantity,867,"Meat, cattle",2006,2006,tonnes,186223,,Official data
TCL,Crops and livestock products,79,Germany,5910,Export Quantity,867,"Meat, cattle",2007,2007,tonnes,178110,,Official data
TCL,Crops and livestock products,79,Germany,5910,Export Quantity,867,"Meat, cattle",2008,2008,tonnes,213241,,Official data
TCL,Crops and livestock products,79,Germany,5910,Export Quantity,867,"Meat, cattle",2009,2009,tonnes,232350,,Official data
TCL,Crops and livestock products,79,Germany,5910,Export Quantity,867,"Meat, cattle",2010,2010,tonnes,211568,,Official data
TCL,Crops and livestock products,79,Germany,5910,Export Quantity,867,"Meat, cattle",2011,2011,tonnes,247113,*,Unofficial figure
TCL,Crops and livestock products,79,Germany,5910,Export Quantity,867,"Meat, cattle",2012,2012,tonnes,206989,,Official data
TCL,Crops and livestock products,79,Germany,5910,Export Quantity,867,"Meat, cattle",2013,2013,tonnes,176656,,Official data
TCL,Crops and livestock products,79,Germany,5910,Export Quantity,867,"Meat, cattle",2014,2014,tonnes,187660,,Official data
TCL,Crops and livestock products,79,Germany,5910,Export Quantity,867,"Meat, cattle",2015,2015,tonnes,176936,,Official data
TCL,Crops and livestock products,79,Germany,5910,Export Quantity,867,"Meat, cattle",2016,2016,tonnes,173884,,Official data
TCL,Crops and livestock products,79,Germany,5910,Export Quantity,867,"Meat, cattle",2017,2017,tonnes,157546,,Official data
TCL,Crops and livestock products,79,Germany,5910,Export Quantity,867,"Meat, cattle",2018,2018,tonnes,142084,,Official data
TCL,Crops and livestock products,79,Germany,5910,Export Quantity,867,"Meat, cattle",2019,2019,tonnes,147953,,Official data
TCL,Crops and livestock products,79,Germany,5910,Export Quantity,867,"Meat, cattle",2020,2020,tonnes,136524,,Official data
TCL,Crops and livestock products,79,Germany,5922,Export Value,867,"Meat, cattle",1992,1992,1000 US$,1428052,,Official data
TCL,Crops and livestock products,79,Germany,5922,Export Value,867,"Meat, cattle",1993,1993,1000 US$,1086121,,Official data
TCL,Crops and livestock products,79,Germany,5922,Export Value,867,"Meat, cattle",1994,1994,1000 US$,965688,,Official data
TCL,Crops and livestock products,79,Germany,5922,Export Value,867,"Meat, cattle",1995,1995,1000 US$,807767,,Official data
TCL,Crops and livestock products,79,Germany,5922,Export Value,867,"Meat, cattle",1996,1996,1000 US$,687115,,Official data
TCL,Crops and livestock products,79,Germany,5922,Export Value,867,"Meat, cattle",1997,1997,1000 US$,689195,,Official data
TCL,Crops and livestock products,79,Germany,5922,Export Value,867,"Meat, cattle",1998,1998,1000 US$,702686,,Official data
TCL,Crops and livestock products,79,Germany,5922,Export Value,867,"Meat, cattle",1999,1999,1000 US$,484257,,Official data
TCL,Crops and livestock products,79,Germany,5922,Export Value,867,"Meat, cattle",2000,2000,1000 US$,445471,,Official data
TCL,Crops and livestock products,79,Germany,5922,Export Value,867,"Meat, cattle",2001,2001,1000 US$,392481,,Official data
TCL,Crops and livestock products,79,Germany,5922,Export Value,867,"Meat, cattle",2002,2002,1000 US$,500615,,Official data
TCL,Crops and livestock products,79,Germany,5922,Export Value,867,"Meat, cattle",2003,2003,1000 US$,593138,,Official data
TCL,Crops and livestock products,79,Germany,5922,Export Value,867,"Meat, cattle",2004,2004,1000 US$,697172,,Official data
TCL,Crops and livestock products,79,Germany,5922,Export Value,867,"Meat, cattle",2005,2005,1000 US$,631035,,Official data
TCL,Crops and livestock products,79,Germany,5922,Export Value,867,"Meat, cattle",2006,2006,1000 US$,745250,,Official data
TCL,Crops and livestock products,79,Germany,5922,Export Value,867,"Meat, cattle",2007,2007,1000 US$,718417,,Official data
TCL,Crops and livestock products,79,Germany,5922,Export Value,867,"Meat, cattle",2008,2008,1000 US$,971781,,Official data
TCL,Crops and livestock products,79,Germany,5922,Export Value,867,"Meat, cattle",2009,2009,1000 US$,927486,,Official data
TCL,Crops and livestock products,79,Germany,5922,Export Value,867,"Meat, cattle",2010,2010,1000 US$,835799,,Official data
TCL,Crops and livestock products,79,Germany,5922,Export Value,867,"Meat, cattle",2011,2011,1000 US$,1252605,,Official data
TCL,Crops and livestock products,79,Germany,5922,Export Value,867,"Meat, cattle",2012,2012,1000 US$,1028178,,Official data
TCL,Crops and livestock products,79,Germany,5922,Export Value,867,"Meat, cattle",2013,2013,1000 US$,884511,,Official data
TCL,Crops and livestock products,79,Germany,5922,Export Value,867,"Meat, cattle",2014,2014,1000 US$,840038,,Official data
TCL,Crops and livestock products,79,Germany,5922,Export Value,867,"Meat, cattle",2015,2015,1000 US$,678564,,Official data
TCL,Crops and livestock products,79,Germany,5922,Export Value,867,"Meat, cattle",2016,2016,1000 US$,629737,,Official data
TCL,Crops and livestock products,79,Germany,5922,Export Value,867,"Meat, cattle",2017,2017,1000 US$,630072,,Official data
TCL,Crops and livestock products,79,Germany,5922,Export Value,867,"Meat, cattle",2018,2018,1000 US$,596084,,Official data
TCL,Crops and livestock products,79,Germany,5922,Export Value,867,"Meat, cattle",2019,2019,1000 US$,561192,,Official data
