Statistic,Month,Commodity Group,VALUE
EU HICP,1997M06,Meat (COICOP 01.1.2),91.4
EU HICP,1997M07,All-items HICP (COICOP 00),70
EU HICP,1997M07,Food and non-alcoholic beverages (COICOP 01),82.3
EU HICP,1997M07,Food (COICOP 01.1),82.5
EU HICP,1997M07,Bread and cereals (COICOP 01.1.1),79.5
EU HICP,1997M07,Meat (COICOP 01.1.2),91.4
EU HICP,1997M08,All-items HICP (COICOP 00),69.8
EU HICP,1997M08,Food and non-alcoholic beverages (COICOP 01),81.7
EU HICP,1997M08,Food (COICOP 01.1),81.8
EU HICP,1997M08,Bread and cereals (COICOP 01.1.1),79.5
EU HICP,1997M08,Meat (COICOP 01.1.2),91.3
EU HICP,1997M09,All-items HICP (COICOP 00),70.1
EU HICP,1997M09,Food and non-alcoholic beverages (COICOP 01),81.7
EU HICP,1997M09,Food (COICOP 01.1),81.7
EU HICP,1997M09,Bread and cereals (COICOP 01.1.1),79.8
EU HICP,1997M09,Meat (COICOP 01.1.2),91
EU HICP,1997M10,All-items HICP (COICOP 00),70.2
EU HICP,1997M10,Food and non-alcoholic beverages (COICOP 01),81.3
EU HICP,1997M10,Food (COICOP 01.1),81.4
EU HICP,1997M10,Bread and cereals (COICOP 01.1.1),79.9
EU HICP,1997M10,Meat (COICOP 01.1.2),90.6
EU HICP,1997M11,All-items HICP (COICOP 00),70.4
EU HICP,1997M11,Food and non-alcoholic beverages (COICOP 01),81.7
EU HICP,1997M11,Food (COICOP 01.1),81.7
EU HICP,1997M11,Bread and cereals (COICOP 01.1.1),80.1
EU HICP,1997M11,Meat (COICOP 01.1.2),90.9
EU HICP,1997M12,All-items HICP (COICOP 00),70.7
EU HICP,1997M12,Food and non-alcoholic beverages (COICOP 01),82.1
EU HICP,1997M12,Food (COICOP 01.1),82.2
EU HICP,1997M12,Bread and cereals (COICOP 01.1.1),80.4
EU HICP,1997M12,Meat (COICOP 01.1.2),90.9
EU HICP,1998M01,All-items HICP (COICOP 00),70.2
EU HICP,1998M01,Food and non-alcoholic beverages (COICOP 01),82.1
EU HICP,1998M01,Food (COICOP 01.1),82.1
EU HICP,1998M01,Bread and cereals (COICOP 01.1.1),80.4
EU HICP,1998M01,Meat (COICOP 01.1.2),89.9
EU HICP,1998M02,All-items HICP (COICOP 00),70.5
EU HICP,1998M02,Food and non-alcoholic beverages (COICOP 01),82.2
EU HICP,1998M02,Food (COICOP 01.1),82.3
EU HICP,1998M02,Bread and cereals (COICOP 01.1.1),81
EU HICP,1998M02,Meat (COICOP 01.1.2),89
EU HICP,1998M03,All-items HICP (COICOP 00),70.9
EU HICP,1998M03,Food and non-alcoholic beverages (COICOP 01),82.7
EU HICP,1998M03,Food (COICOP 01.1),82.8
EU HICP,1998M03,Bread and cereals (COICOP 01.1.1),80.9
EU HICP,1998M03,Meat (COICOP 01.1.2),90
EU HICP,1998M04,All-items HICP (COICOP 00),71.3
EU HICP,1998M04,Food and non-alcoholic beverages (COICOP 01),83.9
EU HICP,1998M04,Food (COICOP 01.1),84
EU HICP,1998M04,Bread and cereals (COICOP 01.1.1),82
EU HICP,1998M04,Meat (COICOP 01.1.2),90.9
EU HICP,1998M05,All-items HICP (COICOP 00),71.5
EU HICP,1998M05,Food and non-alcoholic beverages (COICOP 01),84.9
EU HICP,1998M05,Food (COICOP 01.1),85.1
EU HICP,1998M05,Bread and cereals (COICOP 01.1.1),82.3
EU HICP,1998M05,Meat (COICOP 01.1.2),90.7
EU HICP,1998M06,All-items HICP (COICOP 00),71.9
EU HICP,1998M06,Food and non-alcoholic beverages (COICOP 01),85.7
EU HICP,1998M06,Food (COICOP 01.1),86
EU HICP,1998M06,Bread and cereals (COICOP 01.1.1),82.2
EU HICP,1998M06,Meat (COICOP 01.1.2),90.7
EU HICP,1998M07,All-items HICP (COICOP 00),71.7
EU HICP,1998M07,Food and non-alcoholic beverages (COICOP 01),86.3
EU HICP,1998M07,Food (COICOP 01.1),86.5
EU HICP,1998M07,Bread and cereals (COICOP 01.1.1),82.5
EU HICP,1998M07,Meat (COICOP 01.1.2),90.6
EU HICP,1998M08,All-items HICP (COICOP 00),71.8
EU HICP,1998M08,Food and non-alcoholic beverages (COICOP 01),85.7
EU HICP,1998M08,Food (COICOP 01.1),85.9
EU HICP,1998M08,Bread and cereals (COICOP 01.1.1),82.8
EU HICP,1998M08,Meat (COICOP 01.1.2),90.9
EU HICP,1998M09,All-items HICP (COICOP 00),72
EU HICP,1998M09,Food and non-alcoholic beverages (COICOP 01),85.2
EU HICP,1998M09,Food (COICOP 01.1),85.4
EU HICP,1998M09,Bread and cereals (COICOP 01.1.1),82.8
EU HICP,1998M09,Meat (COICOP 01.1.2),90.9
EU HICP,1998M10,All-items HICP (COICOP 00),72
EU HICP,1998M10,Food and non-alcoholic beverages (COICOP 01),85
EU HICP,1998M10,Food (COICOP 01.1),85.1
EU HICP,1998M10,Bread and cereals (COICOP 01.1.1),82.8
EU HICP,1998M10,Meat (COICOP 01.1.2),90
EU HICP,1998M11,All-items HICP (COICOP 00),72
EU HICP,1998M11,Food and non-alcoholic beverages (COICOP 01),84.7
EU HICP,1998M11,Food (COICOP 01.1),84.7
EU HICP,1998M11,Bread and cereals (COICOP 01.1.1),82.6
EU HICP,1998M11,Meat (COICOP 01.1.2),88.6
EU HICP,1998M12,All-items HICP (COICOP 00),72.2
EU HICP,1998M12,Food and non-alcoholic beverages (COICOP 01),85.6
EU HICP,1998M12,Food (COICOP 01.1),85.6
EU HICP,1998M12,Bread and cereals (COICOP 01.1.1),83
EU HICP,1998M12,Meat (COICOP 01.1.2),89.4
EU HICP,1999M01,All-items HICP (COICOP 00),71.6
EU HICP,1999M01,Food and non-alcoholic beverages (COICOP 01),85.8
EU HICP,1999M01,Food (COICOP 01.1),86
EU HICP,1999M01,Bread and cereals (COICOP 01.1.1),83
EU HICP,1999M01,Meat (COICOP 01.1.2),88.9
EU HICP,1999M02,All-items HICP (COICOP 00),72.1
EU HICP,1999M02,Food and non-alcoholic beverages (COICOP 01),86.3
EU HICP,1999M02,Food (COICOP 01.1),86.4
EU HICP,1999M02,Bread and cereals (COICOP 01.1.1),83.2
EU HICP,1999M02,Meat (COICOP 01.1.2),89.1
EU HICP,1999M03,All-items HICP (COICOP 00),72.3
EU HICP,1999M03,Food and non-alcoholic beverages (COICOP 01),86.4
EU HICP,1999M03,Food (COICOP 01.1),86.6
EU HICP,1999M03,Bread and cereals (COICOP 01.1.1),83.2
EU HICP,1999M03,Meat (COICOP 01.1.2),89.9
EU HICP,1999M04,All-items HICP (COICOP 00),72.7
EU HICP,1999M04,Food and non-alcoholic beverages (COICOP 01),86.8
EU HICP,1999M04,Food (COICOP 01.1),87.1
EU HICP,1999M04,Bread and cereals (COICOP 01.1.1),83.8
EU HICP,1999M04,Meat (COICOP 01.1.2),90.6
EU HICP,1999M05,All-items HICP (COICOP 00),73.2
EU HICP,1999M05,Food and non-alcoholic beverages (COICOP 01),87.3
EU HICP,1999M05,Food (COICOP 01.1),87.6
EU HICP,1999M05,Bread and cereals (COICOP 01.1.1),84.4
EU HICP,1999M05,Meat (COICOP 01.1.2),91
EU HICP,1999M06,All-items HICP (COICOP 00),73.4
EU HICP,1999M06,Food and non-alcoholic beverages (COICOP 01),87.9
EU HICP,1999M06,Food (COICOP 01.1),88.2
EU HICP,1999M06,Bread and cereals (COICOP 01.1.1),85.1
EU HICP,1999M06,Meat (COICOP 01.1.2),90.8
EU HICP,1999M07,All-items HICP (COICOP 00),73.1
EU HICP,1999M07,Food and non-alcoholic beverages (COICOP 01),87.4
EU HICP,1999M07,Food (COICOP 01.1),87.6
EU HICP,1999M07,Bread and cereals (COICOP 01.1.1),84.8
EU HICP,1999M07,Meat (COICOP 01.1.2),90.7
EU HICP,1999M08,All-items HICP (COICOP 00),73.6
EU HICP,1999M08,Food and non-alcoholic beverages (COICOP 01),87.6
EU HICP,1999M08,Food (COICOP 01.1),88
EU HICP,1999M08,Bread and cereals (COICOP 01.1.1),85.4
EU HICP,1999M08,Meat (COICOP 01.1.2),90.9
