Statistic,Month,Type of Animal,UNIT,VALUE
Number of Livestock Slaughtered,2000M02,Bulls,000 Head,3.8
Number of Livestock Slaughtered,2000M02,Cows,000 Head,40
Number of Livestock Slaughtered,2000M02,Heifers,000 Head,61.2
Number of Livestock Slaughtered,2000M02,Calves,000 Head,0.4
Number of Livestock Slaughtered,2000M02,Lambs,000 Head,188.6
Number of Livestock Slaughtered,2000M02,Cattle (Including Calves),000 Head,193.5
Number of Livestock Slaughtered,2000M02,Cattle without Calves,000 Head,193
Number of Livestock Slaughtered,2000M03,Sheep,000 Head,203.5
Number of Livestock Slaughtered,2000M03,Pigs,000 Head,301
Number of Livestock Slaughtered,2000M03,Bullocks,000 Head,110.9
Number of Livestock Slaughtered,2000M03,Bulls,000 Head,4.5
Number of Livestock Slaughtered,2000M03,Cows,000 Head,31.4
Number of Livestock Slaughtered,2000M03,Heifers,000 Head,57.9
Number of Livestock Slaughtered,2000M03,Calves,000 Head,1
Number of Livestock Slaughtered,2000M03,Lambs,000 Head,177
Number of Livestock Slaughtered,2000M03,Cattle (Including Calves),000 Head,205.7
Number of Livestock Slaughtered,2000M03,Cattle without Calves,000 Head,204.7
Number of Livestock Slaughtered,2000M04,Sheep,000 Head,252.6
Number of Livestock Slaughtered,2000M04,Pigs,000 Head,241.8
Number of Livestock Slaughtered,2000M04,Bullocks,000 Head,88.8
Number of Livestock Slaughtered,2000M04,Bulls,000 Head,5.2
Number of Livestock Slaughtered,2000M04,Cows,000 Head,26.3
Number of Livestock Slaughtered,2000M04,Heifers,000 Head,46
Number of Livestock Slaughtered,2000M04,Calves,000 Head,0.6
Number of Livestock Slaughtered,2000M04,Lambs,000 Head,225
Number of Livestock Slaughtered,2000M04,Cattle (Including Calves),000 Head,166.8
Number of Livestock Slaughtered,2000M04,Cattle without Calves,000 Head,166.2
Number of Livestock Slaughtered,2000M05,Sheep,000 Head,466.8
Number of Livestock Slaughtered,2000M05,Pigs,000 Head,296.6
Number of Livestock Slaughtered,2000M05,Bullocks,000 Head,67.9
Number of Livestock Slaughtered,2000M05,Bulls,000 Head,11.3
Number of Livestock Slaughtered,2000M05,Cows,000 Head,36.3
Number of Livestock Slaughtered,2000M05,Heifers,000 Head,47
Number of Livestock Slaughtered,2000M05,Calves,000 Head,0.7
Number of Livestock Slaughtered,2000M05,Lambs,000 Head,409.9
Number of Livestock Slaughtered,2000M05,Cattle (Including Calves),000 Head,163.3
Number of Livestock Slaughtered,2000M05,Cattle without Calves,000 Head,162.5
Number of Livestock Slaughtered,2000M06,Sheep,000 Head,487.1
Number of Livestock Slaughtered,2000M06,Pigs,000 Head,230.8
Number of Livestock Slaughtered,2000M06,Bullocks,000 Head,45.7
Number of Livestock Slaughtered,2000M06,Bulls,000 Head,9.2
Number of Livestock Slaughtered,2000M06,Cows,000 Head,40.9
Number of Livestock Slaughtered,2000M06,Heifers,000 Head,43.5
Number of Livestock Slaughtered,2000M06,Calves,000 Head,0.3
Number of Livestock Slaughtered,2000M06,Lambs,000 Head,445.5
Number of Livestock Slaughtered,2000M06,Cattle (Including Calves),000 Head,139.6
Number of Livestock Slaughtered,2000M06,Cattle without Calves,000 Head,139.3
Number of Livestock Slaughtered,2000M07,Sheep,000 Head,444.6
Number of Livestock Slaughtered,2000M07,Pigs,000 Head,242.8
Number of Livestock Slaughtered,2000M07,Bullocks,000 Head,41.9
Number of Livestock Slaughtered,2000M07,Bulls,000 Head,5.5
Number of Livestock Slaughtered,2000M07,Cows,000 Head,30.6
Number of Livestock Slaughtered,2000M07,Heifers,000 Head,39.1
Number of Livestock Slaughtered,2000M07,Calves,000 Head,0.3
Number of Livestock Slaughtered,2000M07,Lambs,000 Head,398.6
Number of Livestock Slaughtered,2000M07,Cattle (Including Calves),000 Head,117.3
Number of Livestock Slaughtered,2000M07,Cattle without Calves,000 Head,117.1
Number of Livestock Slaughtered,2000M08,Sheep,000 Head,426.1
Number of Livestock Slaughtered,2000M08,Pigs,000 Head,293.9
Number of Livestock Slaughtered,2000M08,Bullocks,000 Head,75.8
Number of Livestock Slaughtered,2000M08,Bulls,000 Head,5.8
Number of Livestock Slaughtered,2000M08,Cows,000 Head,31.9
Number of Livestock Slaughtered,2000M08,Heifers,000 Head,47
Number of Livestock Slaughtered,2000M08,Calves,000 Head,0.2
Number of Livestock Slaughtered,2000M08,Lambs,000 Head,371.9
Number of Livestock Slaughtered,2000M08,Cattle (Including Calves),000 Head,160.8
Number of Livestock Slaughtered,2000M08,Cattle without Calves,000 Head,160.6
Number of Livestock Slaughtered,2000M09,Sheep,000 Head,345.2
Number of Livestock Slaughtered,2000M09,Pigs,000 Head,243.1
Number of Livestock Slaughtered,2000M09,Bullocks,000 Head,101.5
Number of Livestock Slaughtered,2000M09,Bulls,000 Head,4.7
Number of Livestock Slaughtered,2000M09,Cows,000 Head,28.6
Number of Livestock Slaughtered,2000M09,Heifers,000 Head,45
Number of Livestock Slaughtered,2000M09,Calves,000 Head,0.2
Number of Livestock Slaughtered,2000M09,Lambs,000 Head,292.8
Number of Livestock Slaughtered,2000M09,Cattle (Including Calves),000 Head,180
Number of Livestock Slaughtered,2000M09,Cattle without Calves,000 Head,179.8
Number of Livestock Slaughtered,2000M10,Sheep,000 Head,336
Number of Livestock Slaughtered,2000M10,Pigs,000 Head,246.6
Number of Livestock Slaughtered,2000M10,Bullocks,000 Head,102.5
Number of Livestock Slaughtered,2000M10,Bulls,000 Head,4.3
Number of Livestock Slaughtered,2000M10,Cows,000 Head,30
Number of Livestock Slaughtered,2000M10,Heifers,000 Head,47.4
Number of Livestock Slaughtered,2000M10,Calves,000 Head,0.1
Number of Livestock Slaughtered,2000M10,Lambs,000 Head,281.9
Number of Livestock Slaughtered,2000M10,Cattle (Including Calves),000 Head,184.3
Number of Livestock Slaughtered,2000M10,Cattle without Calves,000 Head,184.2
Number of Livestock Slaughtered,2000M11,Sheep,000 Head,380.6
Number of Livestock Slaughtered,2000M11,Pigs,000 Head,308
Number of Livestock Slaughtered,2000M11,Bullocks,000 Head,96
Number of Livestock Slaughtered,2000M11,Bulls,000 Head,2.9
Number of Livestock Slaughtered,2000M11,Cows,000 Head,25
Number of Livestock Slaughtered,2000M11,Heifers,000 Head,48
Number of Livestock Slaughtered,2000M11,Calves,000 Head,0
Number of Livestock Slaughtered,2000M11,Lambs,000 Head,331.6
Number of Livestock Slaughtered,2000M11,Cattle (Including Calves),000 Head,171.9
Number of Livestock Slaughtered,2000M11,Cattle without Calves,000 Head,171.9
Number of Livestock Slaughtered,2000M12,Sheep,000 Head,300.4
Number of Livestock Slaughtered,2000M12,Pigs,000 Head,200.4
Number of Livestock Slaughtered,2000M12,Bullocks,000 Head,37.2
Number of Livestock Slaughtered,2000M12,Bulls,000 Head,1.8
Number of Livestock Slaughtered,2000M12,Cows,000 Head,12.8
Number of Livestock Slaughtered,2000M12,Heifers,000 Head,31.5
Number of Livestock Slaughtered,2000M12,Calves,000 Head,0.1
Number of Livestock Slaughtered,2000M12,Lambs,000 Head,269.6
Number of Livestock Slaughtered,2000M12,Cattle (Including Calves),000 Head,83.5
Number of Livestock Slaughtered,2000M12,Cattle without Calves,000 Head,83.4
Number of Livestock Slaughtered,2001M01,Sheep,000 Head,258.6
Number of Livestock Slaughtered,2001M01,Pigs,000 Head,309
Number of Livestock Slaughtered,2001M01,Bullocks,000 Head,69.3
Number of Livestock Slaughtered,2001M01,Bulls,000 Head,4.5
Number of Livestock Slaughtered,2001M01,Cows,000 Head,15.4
Number of Livestock Slaughtered,2001M01,Heifers,000 Head,45
Number of Livestock Slaughtered,2001M01,Calves,000 Head,0.1
Number of Livestock Slaughtered,2001M01,Lambs,000 Head,227.4
Number of Livestock Slaughtered,2001M01,Cattle (Including Calves),000 Head,134.3
Number of Livestock Slaughtered,2001M01,Cattle without Calves,000 Head,134.2
Number of Livestock Slaughtered,2001M02,Sheep,000 Head,238.4
Number of Livestock Slaughtered,2001M02,Pigs,000 Head,259
Number of Livestock Slaughtered,2001M02,Bullocks,000 Head,83.6
Number of Livestock Slaughtered,2001M02,Bulls,000 Head,3.6
Number of Livestock Slaughtered,2001M02,Cows,000 Head,25.3
Number of Livestock Slaughtered,2001M02,Heifers,000 Head,41.5
Number of Livestock Slaughtered,2001M02,Calves,000 Head,0.6
Number of Livestock Slaughtered,2001M02,Lambs,000 Head,211.4
Number of Livestock Slaughtered,2001M02,Cattle (Including Calves),000 Head,154.7
Number of Livestock Slaughtered,2001M02,Cattle without Calves,000 Head,154.1
Number of Livestock Slaughtered,2001M03,Sheep,000 Head,157.2
Number of Livestock Slaughtered,2001M03,Pigs,000 Head,230.1
Number of Livestock Slaughtered,2001M03,Bullocks,000 Head,93.8
Number of Livestock Slaughtered,2001M03,Bulls,000 Head,6.5
Number of Livestock Slaughtered,2001M03,Cows,000 Head,26.3
Number of Livestock Slaughtered,2001M03,Heifers,000 Head,42.2
Number of Livestock Slaughtered,2001M03,Calves,000 Head,0.7
Number of Livestock Slaughtered,2001M03,Lambs,000 Head,138.3
Number of Livestock Slaughtered,2001M03,Cattle (Including Calves),000 Head,169.4
Number of Livestock Slaughtered,2001M03,Cattle without Calves,000 Head,168.8
Number of Livestock Slaughtered,2001M04,Sheep,000 Head,273.8
Number of Livestock Slaughtered,2001M04,Pigs,000 Head,256.2
Number of Livestock Slaughtered,2001M04,Bullocks,000 Head,77
Number of Livestock Slaughtered,2001M04,Bulls,000 Head,5.9
Number of Livestock Slaughtered,2001M04,Cows,000 Head,22
Number of Livestock Slaughtered,2001M04,Heifers,000 Head,34.4
Number of Livestock Slaughtered,2001M04,Calves,000 Head,0.5
Number of Livestock Slaughtered,2001M04,Lambs,000 Head,228.8
Number of Livestock Slaughtered,2001M04,Cattle (Including Calves),000 Head,139.9
Number of Livestock Slaughtered,2001M04,Cattle without Calves,000 Head,139.4
Number of Livestock Slaughtered,2001M05,Sheep,000 Head,411.3
Number of Livestock Slaughtered,2001M05,Pigs,000 Head,303.4
Number of Livestock Slaughtered,2001M05,Bullocks,000 Head,72.2
Number of Livestock Slaughtered,2001M05,Bulls,000 Head,11.7
Number of Livestock Slaughtered,2001M05,Cows,000 Head,23
Number of Livestock Slaughtered,2001M05,Heifers,000 Head,36.9
Number of Livestock Slaughtered,2001M05,Calves,000 Head,0.2
Number of Livestock Slaughtered,2001M05,Lambs,000 Head,365.7
Number of Livestock Slaughtered,2001M05,Cattle (Including Calves),000 Head,144.1
Number of Livestock Slaughtered,2001M05,Cattle without Calves,000 Head,143.9
Number of Livestock Slaughtered,2001M06,Sheep,000 Head,346.8
Number of Livestock Slaughtered,2001M06,Pigs,000 Head,243.2
Number of Livestock Slaughtered,2001M06,Bullocks,000 Head,81.4
Number of Livestock Slaughtered,2001M06,Bulls,000 Head,11.8
Number of Livestock Slaughtered,2001M06,Cows,000 Head,18.8
Number of Livestock Slaughtered,2001M06,Heifers,000 Head,36.1
Number of Livestock Slaughtered,2001M06,Calves,000 Head,0.4
Number of Livestock Slaughtered,2001M06,Lambs,000 Head,317.5
Number of Livestock Slaughtered,2001M06,Cattle (Including Calves),000 Head,148.5
Number of Livestock Slaughtered,2001M06,Cattle without Calves,000 Head,148.1
Number of Livestock Slaughtered,2001M07,Sheep,000 Head,399.6
Number of Livestock Slaughtered,2001M07,Pigs,000 Head,258.7
Number of Livestock Slaughtered,2001M07,Bullocks,000 Head,62.2
Number of Livestock Slaughtered,2001M07,Bulls,000 Head,8.4
Number of Livestock Slaughtered,2001M07,Cows,000 Head,32.3
Number of Livestock Slaughtered,2001M07,Heifers,000 Head,34.5
Number of Livestock Slaughtered,2001M07,Calves,000 Head,0.1
Number of Livestock Slaughtered,2001M07,Lambs,000 Head,366.7
Number of Livestock Slaughtered,2001M07,Cattle (Including Calves),000 Head,137.4
Number of Livestock Slaughtered,2001M07,Cattle without Calves,000 Head,137.3
Number of Livestock Slaughtered,2001M08,Sheep,000 Head,456.5
Number of Livestock Slaughtered,2001M08,Pigs,000 Head,309.1
Number of Livestock Slaughtered,2001M08,Bullocks,000 Head,80.6
Number of Livestock Slaughtered,2001M08,Bulls,000 Head,6.4
Number of Livestock Slaughtered,2001M08,Cows,000 Head,41.6
Number of Livestock Slaughtered,2001M08,Heifers,000 Head,38.1
Number of Livestock Slaughtered,2001M08,Calves,000 Head,0.3
Number of Livestock Slaughtered,2001M08,Lambs,000 Head,409.5
Number of Livestock Slaughtered,2001M08,Cattle (Including Calves),000 Head,167
Number of Livestock Slaughtered,2001M08,Cattle without Calves,000 Head,166.7
Number of Livestock Slaughtered,2001M09,Sheep,000 Head,388.2
Number of Livestock Slaughtered,2001M09,Pigs,000 Head,263.7
Number of Livestock Slaughtered,2001M09,Bullocks,000 Head,84.6
Number of Livestock Slaughtered,2001M09,Bulls,000 Head,5.5
Number of Livestock Slaughtered,2001M09,Cows,000 Head,31.2
Number of Livestock Slaughtered,2001M09,Heifers,000 Head,38.1
Number of Livestock Slaughtered,2001M09,Calves,000 Head,0.3
Number of Livestock Slaughtered,2001M09,Lambs,000 Head,340.6
Number of Livestock Slaughtered,2001M09,Cattle (Including Calves),000 Head,159.7
Number of Livestock Slaughtered,2001M09,Cattle without Calves,000 Head,159.4
Number of Livestock Slaughtered,2001M10,Sheep,000 Head,408.4
Number of Livestock Slaughtered,2001M10,Pigs,000 Head,330.2
Number of Livestock Slaughtered,2001M10,Bullocks,000 Head,91.6
Number of Livestock Slaughtered,2001M10,Bulls,000 Head,5.7
Number of Livestock Slaughtered,2001M10,Cows,000 Head,44.9
Number of Livestock Slaughtered,2001M10,Heifers,000 Head,46.7
Number of Livestock Slaughtered,2001M10,Calves,000 Head,0.3
Number of Livestock Slaughtered,2001M10,Lambs,000 Head,359.6
Number of Livestock Slaughtered,2001M10,Cattle (Including Calves),000 Head,189.3
Number of Livestock Slaughtered,2001M10,Cattle without Calves,000 Head,188.9
Number of Livestock Slaughtered,2001M11,Sheep,000 Head,347.1
Number of Livestock Slaughtered,2001M11,Pigs,000 Head,278.1
Number of Livestock Slaughtered,2001M11,Bullocks,000 Head,101.3
Number of Livestock Slaughtered,2001M11,Bulls,000 Head,7.4
Number of Livestock Slaughtered,2001M11,Cows,000 Head,49.5
Number of Livestock Slaughtered,2001M11,Heifers,000 Head,55
Number of Livestock Slaughtered,2001M11,Calves,000 Head,0.1
Number of Livestock Slaughtered,2001M11,Lambs,000 Head,308.2
Number of Livestock Slaughtered,2001M11,Cattle (Including Calves),000 Head,213.4
Number of Livestock Slaughtered,2001M11,Cattle without Calves,000 Head,213.2
Number of Livestock Slaughtered,2001M12,Sheep,000 Head,217
Number of Livestock Slaughtered,2001M12,Pigs,000 Head,214.1
Number of Livestock Slaughtered,2001M12,Bullocks,000 Head,55.7
Number of Livestock Slaughtered,2001M12,Bulls,000 Head,4.2
Number of Livestock Slaughtered,2001M12,Cows,000 Head,35.6
Number of Livestock Slaughtered,2001M12,Heifers,000 Head,40.1
Number of Livestock Slaughtered,2001M12,Calves,000 Head,0.2
Number of Livestock Slaughtered,2001M12,Lambs,000 Head,190.1
Number of Livestock Slaughtered,2001M12,Cattle (Including Calves),000 Head,135.7
Number of Livestock Slaughtered,2001M12,Cattle without Calves,000 Head,135.5
Number of Livestock Slaughtered,2002M01,Sheep,000 Head,159.5
Number of Livestock Slaughtered,2002M01,Pigs,000 Head,331.7
Number of Livestock Slaughtered,2002M01,Bullocks,000 Head,71.1
Number of Livestock Slaughtered,2002M01,Bulls,000 Head,5.4
Number of Livestock Slaughtered,2002M01,Cows,000 Head,33.1
Number of Livestock Slaughtered,2002M01,Heifers,000 Head,59.1
Number of Livestock Slaughtered,2002M01,Calves,000 Head,0.2
Number of Livestock Slaughtered,2002M01,Lambs,000 Head,138.1
Number of Livestock Slaughtered,2002M01,Cattle (Including Calves),000 Head,168.8
Number of Livestock Slaughtered,2002M01,Cattle without Calves,000 Head,168.6
Number of Livestock Slaughtered,2002M02,Sheep,000 Head,97
Number of Livestock Slaughtered,2002M02,Pigs,000 Head,258.2
Number of Livestock Slaughtered,2002M02,Bullocks,000 Head,64.9
Number of Livestock Slaughtered,2002M02,Bulls,000 Head,3.8
Number of Livestock Slaughtered,2002M02,Cows,000 Head,23.9
Number of Livestock Slaughtered,2002M02,Heifers,000 Head,40.7
Number of Livestock Slaughtered,2002M02,Calves,000 Head,0.7
Number of Livestock Slaughtered,2002M02,Lambs,000 Head,79.7
Number of Livestock Slaughtered,2002M02,Cattle (Including Calves),000 Head,134
Number of Livestock Slaughtered,2002M02,Cattle without Calves,000 Head,133.3
Number of Livestock Slaughtered,2002M03,Sheep,000 Head,114.4
Number of Livestock Slaughtered,2002M03,Pigs,000 Head,244.5
Number of Livestock Slaughtered,2002M03,Bullocks,000 Head,64.7
Number of Livestock Slaughtered,2002M03,Bulls,000 Head,4
Number of Livestock Slaughtered,2002M03,Cows,000 Head,17
Number of Livestock Slaughtered,2002M03,Heifers,000 Head,36.1
Number of Livestock Slaughtered,2002M03,Calves,000 Head,1.2
Number of Livestock Slaughtered,2002M03,Lambs,000 Head,99.2
Number of Livestock Slaughtered,2002M03,Cattle (Including Calves),000 Head,123
Number of Livestock Slaughtered,2002M03,Cattle without Calves,000 Head,121.7
Number of Livestock Slaughtered,2002M04,Sheep,000 Head,202.5
Number of Livestock Slaughtered,2002M04,Pigs,000 Head,245.4
Number of Livestock Slaughtered,2002M04,Bullocks,000 Head,77.4
Number of Livestock Slaughtered,2002M04,Bulls,000 Head,4.8
Number of Livestock Slaughtered,2002M04,Cows,000 Head,18.3
Number of Livestock Slaughtered,2002M04,Heifers,000 Head,37.6
Number of Livestock Slaughtered,2002M04,Calves,000 Head,0.9
Number of Livestock Slaughtered,2002M04,Lambs,000 Head,171.4
Number of Livestock Slaughtered,2002M04,Cattle (Including Calves),000 Head,139
Number of Livestock Slaughtered,2002M04,Cattle without Calves,000 Head,138.1
Number of Livestock Slaughtered,2002M05,Sheep,000 Head,325.8
Number of Livestock Slaughtered,2002M05,Pigs,000 Head,292.5
Number of Livestock Slaughtered,2002M05,Bullocks,000 Head,71.8
Number of Livestock Slaughtered,2002M05,Bulls,000 Head,8.4
Number of Livestock Slaughtered,2002M05,Cows,000 Head,22.4
Number of Livestock Slaughtered,2002M05,Heifers,000 Head,39.2
Number of Livestock Slaughtered,2002M05,Calves,000 Head,0.5
Number of Livestock Slaughtered,2002M05,Lambs,000 Head,290.7
Number of Livestock Slaughtered,2002M05,Cattle (Including Calves),000 Head,142.2
Number of Livestock Slaughtered,2002M05,Cattle without Calves,000 Head,141.7
Number of Livestock Slaughtered,2002M06,Sheep,000 Head,329.5
Number of Livestock Slaughtered,2002M06,Pigs,000 Head,223.4
Number of Livestock Slaughtered,2002M06,Bullocks,000 Head,53
Number of Livestock Slaughtered,2002M06,Bulls,000 Head,6.2
Number of Livestock Slaughtered,2002M06,Cows,000 Head,21
Number of Livestock Slaughtered,2002M06,Heifers,000 Head,32.5
Number of Livestock Slaughtered,2002M06,Calves,000 Head,0.5
Number of Livestock Slaughtered,2002M06,Lambs,000 Head,300.2
Number of Livestock Slaughtered,2002M06,Cattle (Including Calves),000 Head,113
Number of Livestock Slaughtered,2002M06,Cattle without Calves,000 Head,112.5
Number of Livestock Slaughtered,2002M07,Sheep,000 Head,427.9
Number of Livestock Slaughtered,2002M07,Pigs,000 Head,285.6
Number of Livestock Slaughtered,2002M07,Bullocks,000 Head,75.8
Number of Livestock Slaughtered,2002M07,Bulls,000 Head,6.1
Number of Livestock Slaughtered,2002M07,Cows,000 Head,28.3
Number of Livestock Slaughtered,2002M07,Heifers,000 Head,40
Number of Livestock Slaughtered,2002M07,Calves,000 Head,0.3
Number of Livestock Slaughtered,2002M07,Lambs,000 Head,380.2
Number of Livestock Slaughtered,2002M07,Cattle (Including Calves),000 Head,150.6
Number of Livestock Slaughtered,2002M07,Cattle without Calves,000 Head,150.3
Number of Livestock Slaughtered,2002M08,Sheep,000 Head,391.7
Number of Livestock Slaughtered,2002M08,Pigs,000 Head,229.6
Number of Livestock Slaughtered,2002M08,Bullocks,000 Head,72.1
Number of Livestock Slaughtered,2002M08,Bulls,000 Head,4.6
Number of Livestock Slaughtered,2002M08,Cows,000 Head,30
Number of Livestock Slaughtered,2002M08,Heifers,000 Head,37.2
Number of Livestock Slaughtered,2002M08,Calves,000 Head,0.5
Number of Livestock Slaughtered,2002M08,Lambs,000 Head,342
Number of Livestock Slaughtered,2002M08,Cattle (Including Calves),000 Head,144.5
Number of Livestock Slaughtered,2002M08,Cattle without Calves,000 Head,144
Number of Livestock Slaughtered,2002M09,Sheep,000 Head,337.2
Number of Livestock Slaughtered,2002M09,Pigs,000 Head,240.9
Number of Livestock Slaughtered,2002M09,Bullocks,000 Head,91.3
Number of Livestock Slaughtered,2002M09,Bulls,000 Head,4.1
Number of Livestock Slaughtered,2002M09,Cows,000 Head,29.9
Number of Livestock Slaughtered,2002M09,Heifers,000 Head,41.9
Number of Livestock Slaughtered,2002M09,Calves,000 Head,0.1
Number of Livestock Slaughtered,2002M09,Lambs,000 Head,284.5
Number of Livestock Slaughtered,2002M09,Cattle (Including Calves),000 Head,167.3
Number of Livestock Slaughtered,2002M09,Cattle without Calves,000 Head,167.2
Number of Livestock Slaughtered,2002M10,Sheep,000 Head,336.1
Number of Livestock Slaughtered,2002M10,Pigs,000 Head,295.1
Number of Livestock Slaughtered,2002M10,Bullocks,000 Head,91.1
Number of Livestock Slaughtered,2002M10,Bulls,000 Head,3.6
Number of Livestock Slaughtered,2002M10,Cows,000 Head,35.3
Number of Livestock Slaughtered,2002M10,Heifers,000 Head,52.1
Number of Livestock Slaughtered,2002M10,Calves,000 Head,0.6
Number of Livestock Slaughtered,2002M10,Lambs,000 Head,277
Number of Livestock Slaughtered,2002M10,Cattle (Including Calves),000 Head,182.8
Number of Livestock Slaughtered,2002M10,Cattle without Calves,000 Head,182.2
Number of Livestock Slaughtered,2002M11,Sheep,000 Head,314.2
Number of Livestock Slaughtered,2002M11,Pigs,000 Head,258.8
Number of Livestock Slaughtered,2002M11,Bullocks,000 Head,78.8
Number of Livestock Slaughtered,2002M11,Bulls,000 Head,4.1
Number of Livestock Slaughtered,2002M11,Cows,000 Head,38.2
Number of Livestock Slaughtered,2002M11,Heifers,000 Head,61.1
Number of Livestock Slaughtered,2002M11,Calves,000 Head,0.2
Number of Livestock Slaughtered,2002M11,Lambs,000 Head,264.4
Number of Livestock Slaughtered,2002M11,Cattle (Including Calves),000 Head,182.5
Number of Livestock Slaughtered,2002M11,Cattle without Calves,000 Head,182.3
Number of Livestock Slaughtered,2002M12,Sheep,000 Head,271.7
Number of Livestock Slaughtered,2002M12,Pigs,000 Head,203.8
Number of Livestock Slaughtered,2002M12,Bullocks,000 Head,55.3
Number of Livestock Slaughtered,2002M12,Bulls,000 Head,3.4
Number of Livestock Slaughtered,2002M12,Cows,000 Head,25.8
Number of Livestock Slaughtered,2002M12,Heifers,000 Head,49.4
Number of Livestock Slaughtered,2002M12,Calves,000 Head,0.3
Number of Livestock Slaughtered,2002M12,Lambs,000 Head,241.3
Number of Livestock Slaughtered,2002M12,Cattle (Including Calves),000 Head,134
Number of Livestock Slaughtered,2002M12,Cattle without Calves,000 Head,133.8
Number of Livestock Slaughtered,2003M01,Sheep,000 Head,234.5
Number of Livestock Slaughtered,2003M01,Pigs,000 Head,297.8
Number of Livestock Slaughtered,2003M01,Bullocks,000 Head,66.5
Number of Livestock Slaughtered,2003M01,Bulls,000 Head,4.6
Number of Livestock Slaughtered,2003M01,Cows,000 Head,28.4
Number of Livestock Slaughtered,2003M01,Heifers,000 Head,58.1
Number of Livestock Slaughtered,2003M01,Calves,000 Head,0.2
Number of Livestock Slaughtered,2003M01,Lambs,000 Head,208.9
Number of Livestock Slaughtered,2003M01,Cattle (Including Calves),000 Head,157.7
Number of Livestock Slaughtered,2003M01,Cattle without Calves,000 Head,157.6
Number of Livestock Slaughtered,2003M02,Sheep,000 Head,180.1
Number of Livestock Slaughtered,2003M02,Pigs,000 Head,230.2
Number of Livestock Slaughtered,2003M02,Bullocks,000 Head,71.5
Number of Livestock Slaughtered,2003M02,Bulls,000 Head,4.2
Number of Livestock Slaughtered,2003M02,Cows,000 Head,24
Number of Livestock Slaughtered,2003M02,Heifers,000 Head,43.9
Number of Livestock Slaughtered,2003M02,Calves,000 Head,0.4
Number of Livestock Slaughtered,2003M02,Lambs,000 Head,159.7
Number of Livestock Slaughtered,2003M02,Cattle (Including Calves),000 Head,144.1
Number of Livestock Slaughtered,2003M02,Cattle without Calves,000 Head,143.7
Number of Livestock Slaughtered,2003M03,Sheep,000 Head,144.8
Number of Livestock Slaughtered,2003M03,Pigs,000 Head,229.6
Number of Livestock Slaughtered,2003M03,Bullocks,000 Head,72.4
Number of Livestock Slaughtered,2003M03,Bulls,000 Head,4.6
Number of Livestock Slaughtered,2003M03,Cows,000 Head,18.9
Number of Livestock Slaughtered,2003M03,Heifers,000 Head,38.2
Number of Livestock Slaughtered,2003M03,Calves,000 Head,1
Number of Livestock Slaughtered,2003M03,Lambs,000 Head,128.1
Number of Livestock Slaughtered,2003M03,Cattle (Including Calves),000 Head,134.7
Number of Livestock Slaughtered,2003M03,Cattle without Calves,000 Head,134.1
Number of Livestock Slaughtered,2003M04,Sheep,000 Head,247.6
Number of Livestock Slaughtered,2003M04,Pigs,000 Head,245.3
Number of Livestock Slaughtered,2003M04,Bullocks,000 Head,85.4
Number of Livestock Slaughtered,2003M04,Bulls,000 Head,5.8
Number of Livestock Slaughtered,2003M04,Cows,000 Head,20.2
Number of Livestock Slaughtered,2003M04,Heifers,000 Head,41.4
Number of Livestock Slaughtered,2003M04,Calves,000 Head,1
Number of Livestock Slaughtered,2003M04,Lambs,000 Head,210.7
Number of Livestock Slaughtered,2003M04,Cattle (Including Calves),000 Head,153.5
Number of Livestock Slaughtered,2003M04,Cattle without Calves,000 Head,152.9
Number of Livestock Slaughtered,2003M05,Sheep,000 Head,311
Number of Livestock Slaughtered,2003M05,Pigs,000 Head,248.8
Number of Livestock Slaughtered,2003M05,Bullocks,000 Head,68.7
Number of Livestock Slaughtered,2003M05,Bulls,000 Head,7.6
Number of Livestock Slaughtered,2003M05,Cows,000 Head,26.2
Number of Livestock Slaughtered,2003M05,Heifers,000 Head,37.5
Number of Livestock Slaughtered,2003M05,Calves,000 Head,1
Number of Livestock Slaughtered,2003M05,Lambs,000 Head,276
Number of Livestock Slaughtered,2003M05,Cattle (Including Calves),000 Head,140.5
Number of Livestock Slaughtered,2003M05,Cattle without Calves,000 Head,140
Number of Livestock Slaughtered,2003M06,Sheep,000 Head,297.8
Number of Livestock Slaughtered,2003M06,Pigs,000 Head,219.8
Number of Livestock Slaughtered,2003M06,Bullocks,000 Head,58.2
Number of Livestock Slaughtered,2003M06,Bulls,000 Head,7.6
Number of Livestock Slaughtered,2003M06,Cows,000 Head,27.8
Number of Livestock Slaughtered,2003M06,Heifers,000 Head,33.9
Number of Livestock Slaughtered,2003M06,Calves,000 Head,0.3
Number of Livestock Slaughtered,2003M06,Lambs,000 Head,269.6
Number of Livestock Slaughtered,2003M06,Cattle (Including Calves),000 Head,127.8
Number of Livestock Slaughtered,2003M06,Cattle without Calves,000 Head,127.5
Number of Livestock Slaughtered,2003M07,Sheep,000 Head,332.9
Number of Livestock Slaughtered,2003M07,Pigs,000 Head,261
Number of Livestock Slaughtered,2003M07,Bullocks,000 Head,76.1
Number of Livestock Slaughtered,2003M07,Bulls,000 Head,6.9
Number of Livestock Slaughtered,2003M07,Cows,000 Head,34.1
Number of Livestock Slaughtered,2003M07,Heifers,000 Head,39.9
Number of Livestock Slaughtered,2003M07,Calves,000 Head,0.2
Number of Livestock Slaughtered,2003M07,Lambs,000 Head,297.8
