Statistic,Month,Commodity Group,UNIT,VALUE
EU HICP,2002M02,Meat (COICOP 01.1.2),Base 2015=100,107.1
EU HICP,2002M03,Meat (COICOP 01.1.2),Base 2015=100,106.8
EU HICP,2002M04,Meat (COICOP 01.1.2),Base 2015=100,107.1
EU HICP,2002M05,Meat (COICOP 01.1.2),Base 2015=100,106.8
EU HICP,2002M06,Meat (COICOP 01.1.2),Base 2015=100,106.7
EU HICP,2002M07,Meat (COICOP 01.1.2),Base 2015=100,107.1
EU HICP,2002M08,Meat (COICOP 01.1.2),Base 2015=100,106.6
EU HICP,2002M09,Meat (COICOP 01.1.2),Base 2015=100,107.1
EU HICP,2002M10,Meat (COICOP 01.1.2),Base 2015=100,106.9
EU HICP,2002M11,Meat (COICOP 01.1.2),Base 2015=100,107.2
EU HICP,2002M12,Meat (COICOP 01.1.2),Base 2015=100,106.8
EU HICP,2003M01,Meat (COICOP 01.1.2),Base 2015=100,106.6
EU HICP,2003M02,Meat (COICOP 01.1.2),Base 2015=100,106.2
EU HICP,2003M03,Meat (COICOP 01.1.2),Base 2015=100,107.1
EU HICP,2003M04,Meat (COICOP 01.1.2),Base 2015=100,107
EU HICP,2003M05,Meat (COICOP 01.1.2),Base 2015=100,107
EU HICP,2003M06,Meat (COICOP 01.1.2),Base 2015=100,106.9
EU HICP,2003M07,Meat (COICOP 01.1.2),Base 2015=100,106.9
EU HICP,2003M08,Meat (COICOP 01.1.2),Base 2015=100,107.1
EU HICP,2003M09,Meat (COICOP 01.1.2),Base 2015=100,106.5
EU HICP,2003M10,Meat (COICOP 01.1.2),Base 2015=100,106.8
EU HICP,2003M11,Meat (COICOP 01.1.2),Base 2015=100,106.2
EU HICP,2003M12,Meat (COICOP 01.1.2),Base 2015=100,106.1
EU HICP,2004M01,Meat (COICOP 01.1.2),Base 2015=100,106.1
EU HICP,2004M02,Meat (COICOP 01.1.2),Base 2015=100,106
EU HICP,2004M03,Meat (COICOP 01.1.2),Base 2015=100,106
EU HICP,2004M04,Meat (COICOP 01.1.2),Base 2015=100,106.1
EU HICP,2004M05,Meat (COICOP 01.1.2),Base 2015=100,106.1
